List of ventilator manufacturers


# List of ventilator manufacturers



This is a list of notable ventilator manufacturers and businesses that manufacture ventilator components for the healthcare industry.


## Major manufacturers

ICU ventilators
| Manufacturer | Country | Market share (2019) |
| --- | --- | --- |
| Getinge | Sweden | 22% |
| Hamilton Medical | U.S., Switzerland | 22% |
| Dräger | Germany | 16 % |
| Mindray | China | 10% |
| Medtronic | Ireland, U.S. | 5% |
| Löwenstein Medical | Germany | 3% |
| Vyaire Medical | U.S. | 3% |
| GE Healthcare | U.S. | 3% |
| Philips Respironics | Netherlands | 3% |
| Others | 15% |

Mobile ventilators
| Manufacturer | Country | Market share (2019) |
| --- | --- | --- |
| Dräger | Germany | 24 % |
| Weinmann Medical | Germany | 21 % |
| Hamilton Medical | U.S., Switzerland | 18 % |
| Vyaire Medical | U.S. | 5 % |
| Customs | Japan | 4 % |
| O Two | Canada | 4 % |
| Smiths Medical | U.S. | 4 % |
| Medtronic | Ireland, U.S. | 4 % |
| Air Liquide Healthcare | France | 3 % |
| (and 13 other vendors contributing for 13%) |


## Other manufacturers

Other Manufactures
| Manufacturer | Country | City |
| --- | --- | --- |
| Airon Corporation | U.S. | Melbourne, Florida |
| Avasarala Technologies Limited | India | Bengaluru |
| A B INDUSTRIES (MAX MEDITECH PVT LTD)ᶜⁱᵗᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ | India | Vadodara |
| AgVa Healthcare | India |
| Aerobiosys Innovations Private Limited | India | Hyderabad, Chennai |
| AEONMED CO., LTD.ᶜⁱᵗᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ | China | Beijing |
| ACUTRONIC Medical Systems AGᶜⁱᵗᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ | Switzerland | Hirzel |
| aXcent medical | Germany | Koblenz |
| Becton Dickinson and Company | U.S. | Franklin Lakes, New Jersey |
| BehinMed | Iran | Tehran |
| Biosys Medikalᶜⁱᵗᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ | Turkey | Ankara |
| Bio-Med Devices, Inc. | U.S. | Guilford, Connecticut |
| Bunnell Incorporated | U.S. | Salt Lake City, Utah |
| Cardinal Health | U.S. | Dublin, Ohio |
| Concern Radio-Electronic Technologies | Russia | Moscow |
| Dima Italia | Italy | Bologna |
| Fisher & Paykel | New Zealand | Auckland |
| Getinge AB | Sweden | Göteborg |
| Hartwell Medical Corp.ᶜⁱᵗᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ | U.S. | Carlsbad, California |
| Hillrom | U.S. | Chicago, Illinois |
| Inspirar Health Tech (Projeto Inspirar) | Brazil | Belo Horizonte |
| Inspirar Health Tech (Projeto Inspirar) | Brazil | Belo Horizonte |
| Inspirar Health Tech (Projeto Inspirar) | Brazil | Belo Horizonte |
| Life Line Biz Pvt Ltd.ᶜⁱᵗᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ | India | Ahmedabad, Gujarat |
| Noccarc Robotics Pvt Ltd | India | Pune, Maharashtra |
| ResMed Corp. | U.S. | San Diego, California |
| Smiths Group | UK | London |
| Triton Electronics Systems, Ltd. | Russia | Yekaterinburg |
| United Hayek Industries, Inc. | U.S. | San Diego, California |
| MEDISYS (Premier Medical Systems & Devices Pvt. Ltd.) | India | Noida, Uttar Pradesh |
| Ventec Life Systems | U.S. | Bothell, Washington |
| National Radio & Telecommunication Corporation | Pakistan | Haripur, Pakistan |

