Euronext 100


# Euronext 100



The **Euronext 100 Index** is a stock market index of blue chip stocks on the pan-European exchange, Euronext. It comprises the 100 largest and most liquid stocks traded on Euronext. Each stock must trade more than 20 percent of its issued shares over the course of the rolling one year analysis period.

The index is reviewed quarterly through a size and liquidity analysis of the investment universe. As of December 21, 2002, the stocks in the Euronext100 Index represent 80% (euro 1,177 billion) of the total market capitalization of Euronext’s investment universe (euro 1,477 billion).
Each stock in the index is given a sector classification.


## Components by country

Members of Euronext 100
| France : 64 Netherlands : 17 Norway: 7 Belgium : 6 Ireland: 3 Portugal : 3 |
| --- |


## Components

| Ticker | Name | Main listing | Corporate form |
| --- | --- | --- | --- |
| AC.PA | Accor | Paris |
| ADP.PA | Aéroports de Paris | Paris |
| ADYEN.AS | Adyen | Amsterdam |
| AGN.AS | Aegon | Amsterdam |
| A5G.IR | AIB | Dublin |
| AI.PA | Air Liquide | Paris |
| AIR.PA | Airbus | Paris |
| AKRBP.OL | Aker | Oslo |
| AKZA.AS | Akzo Nobel | Amsterdam |
| AD.AS | Ahold Delhaize | Amsterdam |
| MT.AS | ArcelorMittal | Amsterdam, Paris |
| ARGX.BR | Argenx | Brussels |
| ASM.AS | ASM International | Amsterdam |
| ASML.AS | ASML | Amsterdam |
| ASRNL.AS | ASR Nederland | Amsterdam |
| CS.PA | AXA | Paris |
| BIRG.IR | Bank of Ireland | Dublin |
| BESI.AS | BE Semiconductor Industries | Amsterdam |
| BIM.PA | BioMérieux | Paris |
| BNP.PA | BNP Paribas | Paris |
| EN.PA | Bouygues | Paris |
| BVI.PA | Bureau Veritas | Paris |
| CPR.MI | Cattolica Assicurazioni | Milan |
| CAP.PA | Capgemini | Paris |
| CA.PA | Carrefour | Paris |
| ACA.PA | Crédit Agricole | Paris |
| DIE.BR | Deutsche Börse | Frankfurt |
| BN.PA | Danone | Paris |
| DSY.PA | Dassault Systèmes | Paris |
| DNB.OL | DNB | Oslo |
| DSFIR.AS | DSM | Amsterdam |
| EDEN.PA | Edenred | Paris |
| EDP.LS | EDP | Lisbon |
| EDPR.LS | EDP Renováveis | Lisbon |
| FGR.PA | Eiffage | Paris |
| ENEL.MI | Enel | Milan |
| ENGI.PA | Engie | Paris |
| ENI.MI | Eni | Milan |
| EQNR.OL | Equinor | Oslo |
| EL.PA | Essilor | Paris |
| ERF.PA | Eramet | Paris |
| ENX.PA | Euronext | Paris |
| RACE.MI | Ferrari | Milan |
| FBK.MI | FinecoBank | Milan |
| GALP.LS | Galp Energia | Lisbon |
| GBLB.BR | Groupe Bruxelles Lambert | Brussels |
| G.MI | Generali | Milan |
| HAVAS.AS | Havas | Paris |
| HEIA.AS | Heineken | Amsterdam |
| INGA.AS | ING | Amsterdam |
| ISP.MI | Intesa Sanpaolo | Milan |
| INW.MI | Infrastrutture Wireless Italiane | Milan |
| IPN.PA | Ipsen | Paris |
| JMT.LS | Jerónimo Martins | Lisbon |
| KBC.BR | KBC Bank | Brussels |
| KER.PA | Kering | Paris |
| KRZ.IR | Kerry Group | Dublin |
| KRX.IR | Kingspan Group | Dublin |
| PHIA.AS | Koninklijke Philips N.V. | Amsterdam |
| KOG.OL | Kongsberg | Oslo |
| AD.AS | Koninklijke Ahold Delhaize N.V. | Amsterdam |
| KPN.AS | KPN | Amsterdam |
| LR.PA | Legrand | Paris |
| LDO.MI | Leonardo | Milan |
| MB.MI | Mediobanca | Milan |
| ML.PA | Michelin | Paris |
| MONC.MI | Moncler | Milan |
| MOWI.OL | Mowi | Oslo |
| NN.AS | Nationale-Nederlanden | Amsterdam |
| NHY.OL | Norsk Hydro ASA | Oslo |
| ORA.PA | Orange | Paris |
| RI.PA | Pernod Ricard | Paris |
| PST.MI | Poste italiane | Milan |
| PRX.AS | Prosus | Amsterdam |
| PRY.MI | Prysmian | Milan |
| PUB.PA | Publicis | Paris |
| REC.MI | Recordati | Milan |
| RNO.PA | Renault | Paris |
| RYA.IR | Ryanair | Dublin |
| SAF.PA | Safran | Paris |
| SGO.PA | Saint-Gobain | Paris |
| SAN.PA | Sanofi | Paris |
| DIM.PA | Sartorius Stedim Biotech | Paris |
| SU.PA | Schneider Electric | Paris |
| SHEEL.AS | Shell | Amsterdam |
| SRG.MI | Snam | Milan |
| GLE.PA | Société Générale | Paris |
| SW.PA | Sodexo | Paris |
| STLAM.MI | Stellantis | Milan |
| STMPA.PA | STMicroelectronics | Paris |
| TEL.OL | Telenor | Oslo |
| TEN.MI | Tenaris | Milan |
| TRN.MI | Terna | Milan |
| HO.PA | Thales | Paris |
| TTE.PA | TotalEnergies | Paris |
| UCB.BR | UCB | Brussels |
| URW.PA | Unibail-Rodamco-Westfield | Paris |
| UCG.MI | Unicredit | Milan |
| VIE.PA | Veolia Environnement | Paris |
| DG.PA | Vinci | Paris |
| VIV.PA | Vivendi | Paris |
| WKL.AS | Wolters Kluwer | Amsterdam |

