List of federal subjects of Russia by GDP per capita


# List of federal subjects of Russia by GDP per capita



Tyumen Oblast has largest **GRDP per capita** in Russia of around US$ 49,000 while Ingushetia has lowest of around US$ 2,000.In 2022, Moscow GRDP per capita reached US$ 30,000 while Saint Petersburg stood at US$ 27,000.


## List

This is a **list of Russian federal subjects by GRDP per capita**.


## Historical data

Gross regional product per capita at purchasing power parity in US dollars.

| Federal subject | 1998 | 1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| ***Russia*** | 7,362 | 7,387 | 8,282 | 9,101 | 9,803 | 10,845 | 12,091 | 13,455 | 15,068 | 16,929 | 17,752 | 16,552 | 17,269 | 18,305 | 19,052 | 19,854 |
| **Central Federal District** | 7,933 | 8,773 | 10,100 | 10,826 | 12,250 | 13,657 | 15,036 | 17,656 | 20,010 | 23,106 | 24,770 | 21,989 | 22,922 | 24,057 | 24,674 | 25,831 |
| Belgorod Oblast | 5,863 | 6,033 | 5,860 | 6,094 | 6,684 | 7,285 | 9,360 | 10,270 | 11,328 | 13,506 | 15,584 | 14,697 | 17,019 | 19,083 | 19,377 | 19,471 |
| Bryansk Oblast | 3,668 | 3,313 | 3,648 | 3,957 | 4,370 | 4,630 | 4,668 | 5,346 | 5,960 | 6,788 | 7,240 | 7,237 | 7,513 | 7,909 | 9,002 | 9,438 |
| Vladimir Oblast | 4,478 | 4,358 | 4,415 | 4,998 | 5,325 | 5,914 | 6,108 | 6,238 | 7,301 | 8,618 | 8,963 | 9,438 | 10,178 | 10,483 | 10,955 | 11,442 |
| Voronezh Oblast | 4,350 | 4,175 | 4,267 | 4,582 | 5,627 | 6,120 | 6,130 | 6,054 | 6,755 | 8,200 | 9,161 | 9,534 | 9,715 | 11,736 | 13,222 | 13,736 |
| Ivanovo Oblast | 3,259 | 2,753 | 2,983 | 3,486 | 3,784 | 4,230 | 4,422 | 4,287 | 4,818 | 5,954 | 6,031 | 6,002 | 6,760 | 7,030 | 7,074 | 7,954 |
| Kaluga Oblast | 4,469 | 4,198 | 4,701 | 5,556 | 5,775 | 6,830 | 6,971 | 7,409 | 8,080 | 9,492 | 11,054 | 11,269 | 12,197 | 13,416 | 15,482 | 15,400 |
| Kostroma Oblast | 5,255 | 4,920 | 4,606 | 5,458 | 5,678 | 5,904 | 6,517 | 6,778 | 7,497 | 8,272 | 8,898 | 8,629 | 9,591 | 10,125 | 10,828 | 11,478 |
| Kursk Oblast | 5,704 | 4,819 | 4,961 | 5,325 | 5,911 | 6,685 | 7,860 | 7,816 | 8,524 | 9,626 | 10,931 | 10,473 | 11,214 | 11,742 | 12,107 | 12,832 |
| Lipetsk Oblast | 6,330 | 7,071 | 8,182 | 7,599 | 9,391 | 11,543 | 14,599 | 12,997 | 14,394 | 15,262 | 16,375 | 14,189 | 13,851 | 14,194 | 13,769 | 14,301 |
| Moscow Oblast | 5,905 | 5,569 | 5,591 | 6,543 | 7,654 | 8,988 | 9,880 | 11,215 | 13,138 | 16,302 | 17,755 | 16,048 | 16,980 | 17,545 | 18,397 | 18,979 |
| Oryol Oblast | 5,096 | 5,019 | 5,273 | 5,827 | 6,683 | 7,150 | 6,775 | 6,872 | 7,603 | 8,246 | 9,007 | 8,406 | 8,806 | 9,654 | 10,255 | 11,228 |
| Ryazan Oblast | 4,790 | 4,424 | 4,624 | 5,454 | 6,011 | 7,097 | 7,190 | 7,567 | 8,530 | 8,903 | 9,581 | 9,739 | 10,135 | 10,734 | 12,101 | 12,866 |
| Smolensk Oblast | 4,961 | 5,233 | 5,405 | 6,176 | 6,467 | 6,823 | 6,705 | 6,819 | 7,414 | 8,164 | 9,043 | 9,285 | 10,248 | 10,618 | 11,279 | 12,248 |
| Tambov Oblast | 3,768 | 3,810 | 4,009 | 4,752 | 5,314 | 5,816 | 6,077 | 5,951 | 6,748 | 8,173 | 8,119 | 9,120 | 8,604 | 9,198 | 10,297 | 11,602 |
| Tver Oblast | 5,103 | 4,660 | 4,834 | 5,741 | 6,097 | 6,844 | 7,569 | 7,287 | 8,674 | 9,685 | 10,403 | 10,652 | 10,558 | 10,924 | 10,947 | 11,560 |
| Tula Oblast | 4,830 | 4,596 | 5,089 | 5,701 | 6,291 | 6,310 | 6,648 | 7,665 | 8,479 | 9,443 | 10,945 | 10,105 | 9,986 | 10,427 | 11,055 | 11,989 |
| Yaroslavl Oblast | 6,663 | 6,653 | 6,249 | 8,116 | 8,882 | 9,841 | 10,397 | 10,637 | 11,242 | 12,444 | 12,458 | 12,239 | 12,297 | 13,016 | 14,068 | 14,962 |
| Moscow | 16,230 | 19,878 | 24,226 | 24,731 | 27,677 | 30,311 | 33,217 | 40,903 | 45,795 | 51,971 | 54,868 | 46,440 | 47,832 | 49,542 | 48,911 | 50,946 |
| **North-West Federal District** | 7,947 | 7,880 | 8,499 | 9,227 | 10,237 | 11,370 | 13,201 | 14,011 | 15,390 | 17,548 | 18,588 | 18,535 | 18,956 | 20,222 | 20,949 | 21,417 |
| Republic of Karelia | 7,210 | 7,640 | 8,074 | 8,554 | 9,312 | 9,522 | 9,593 | 12,094 | 12,038 | 13,656 | 13,112 | 12,010 | 12,217 | 13,933 | 13,770 | 14,603 |
| Komi Republic | 12,835 | 11,566 | 11,862 | 13,895 | 13,602 | 15,404 | 16,427 | 18,854 | 21,951 | 22,183 | 23,483 | 24,364 | 25,575 | 28,097 | 29,573 | 29,538 |
| Arkhangelsk Oblast | 7,546 | 7,224 | 9,386 | 9,101 | 10,026 | 11,376 | 13,496 | 13,809 | 16,239 | 18,407 | 17,299 | 19,241 | 19,819 | 20,764 | 21,375 | 22,579 |
| Vologda Oblast | 8,659 | 9,718 | 11,195 | 9,370 | 10,259 | 12,355 | 15,967 | 16,745 | 15,729 | 17,204 | 18,110 | 13,009 | 14,258 | 15,522 | 16,215 | 15,061 |
| Kaliningrad Oblast | 4,207 | 4,587 | 5,093 | 6,217 | 6,796 | 7,125 | 8,716 | 9,329 | 10,566 | 13,311 | 14,313 | 13,350 | 13,627 | 14,713 | 15,252 | 15,257 |
| Leningrad Oblast | 6,086 | 6,630 | 6,969 | 8,324 | 9,176 | 10,517 | 12,281 | 13,066 | 15,057 | 15,791 | 16,889 | 18,673 | 18,748 | 19,427 | 21,077 | 20,793 |
| Murmansk Oblast | 11,127 | 12,126 | 12,394 | 11,583 | 12,330 | 13,251 | 17,880 | 16,774 | 18,220 | 20,210 | 19,710 | 18,604 | 19,173 | 19,227 | 19,781 | 20,907 |
| Novgorod Oblast | 6,159 | 6,138 | 6,149 | 7,170 | 7,307 | 8,026 | 8,979 | 10,203 | 10,853 | 11,441 | 13,262 | 13,527 | 13,107 | 14,011 | 14,851 | 15,037 |
| Pskov Oblast | 3,648 | 3,932 | 4,304 | 4,605 | 5,102 | 5,679 | 5,985 | 5,972 | 6,903 | 7,561 | 7,880 | 8,034 | 8,423 | 8,659 | 8,848 | 9,144 |
| St. Petersburg | 8,633 | 7,964 | 8,341 | 9,846 | 11,655 | 12,740 | 14,360 | 15,183 | 16,716 | 20,352 | 22,376 | 22,628 | 22,860 | 24,481 | 24,971 | 25,923 |
| **South Federal District** | 4,564 | 4,599 | 4,906 | 5,590 | 6,004 | 6,409 | 6,834 | 7,235 | 8,283 | 9,863 | 10,808 | 10,636 | 11,047 | 11,548 | 12,526 | 13,353 |
