List of countries by net goods exports


# List of countries by net goods exports



This is a **list of countries by net goods exports**, also known as **balance of trade**, which is the difference between the monetary value of a nation's exports and imports over a certain time period. The list includes sovereign states and self-governing dependent territories based upon the ISO standard ISO 3166-1. The following table shows the value of total annual merchandise exports and imports, expressed in millions of United States dollars (current prices), and the resulting trade balance, according to United Nations Conference on Trade and Development (UNCTAD), World Trade Organization (WTO), and World Bank (WB).

Countries with positive balance of trade have a trade surplus, countries with negative net exports have a trade deficit.


## List

Sorting is alphabetical by country code, according to ISO 3166-1 alpha-3.

Net goods exports *(USD current prices)*
| Country/Territory/Region/Group | UNCTAD | | | WTO | | | WB | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Exports 2023 | Imports 2023 | Trade balance 2023 | Exports 2023 | Imports 2023 | Trade balance 2023 | Exports | Year | Imports | Year | Trade balance | Year |
| (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) |
| WORLD | 23783588.96 | 24234678.07 | −451089.11 | 23783494.36 | 24234634.93 | −451140.57 | 23313514.50 | 2023 | 22948570.84 | 2023 | 364943.67 | 2023 |
| Aruba | 147.18 | 1364.66 | −1217.48 | 147.18 | 1364.66 | −1217.48 | 205.27 | 2022 | 1370.75 | 2022 | −1165.47 | 2022 |
| Afghanistan | 903.00 | 6064.00 | −5161.00 | 903.00 | 6064.00 | −5161.00 | 776.73 | 2020 | 5877.64 | 2020 | −5100.91 | 2020 |
| Angola | 38351.20 | 16107.60 | 22243.60 | 38351.20 | 16107.60 | 22243.60 | 36884.70 | 2023 | 15084.85 | 2023 | 21799.85 | 2023 |
| Anguilla | 14.99 | 284.53 | −269.54 | 14.99 | 284.53 | −269.55 | |
| Albania | 4324.44 | 8612.79 | −4288.35 | 4324.44 | 8612.79 | −4288.36 | 1984.34 | 2023 | 6895.97 | 2023 | −4911.62 | 2023 |
| Andorra | 252.37 | 1994.80 | −1742.43 | 252.37 | 1994.80 | −1742.43 | 198.65 | 2022 | 1784.38 | 2022 | −1585.73 | 2022 |
| United Arab Emirates | 487778.00 | 448688.00 | 39090.00 | 487778.00 | 448688.00 | 39090.00 | |
| Argentina | 66787.00 | 73715.00 | −6928.00 | 66787.00 | 73715.00 | −6928.00 | 66836.26 | 2023 | 69773.05 | 2023 | −2936.80 | 2023 |
| Armenia | 8415.20 | 12308.00 | −3892.80 | 8415.20 | 12308.00 | −3892.80 | 8511.01 | 2023 | 10945.67 | 2023 | −2434.66 | 2023 |
| American Samoa | 379.00 | 635.00 | −256.00 | 379.00 | 635.00 | −256.00 | |
| Antigua and Barbuda | 26.74 | 902.32 | −875.58 | 26.74 | 902.32 | −875.58 | 94.31 | 2023 | 745.67 | 2023 | −651.36 | 2023 |
| Australia | 370865.86 | 287739.76 | 83126.10 | 370865.86 | 287739.76 | 83126.09 | 372159.00 | 2023 | 288705.81 | 2023 | 83453.19 | 2023 |
| Austria | 223549.25 | 224542.64 | −993.39 | 223549.25 | 224542.64 | −993.39 | 216779.82 | 2023 | 206757.60 | 2023 | 10022.22 | 2023 |
