List of Germans by net worth


# List of Germans by net worth



The following **Forbes list of German billionaires** is based on an annual assessment of wealth and assets compiled and published by *Forbes* magazine in 2024.


## 2024 German billionaires list top 25

| World ranking | Name | Citizenship | Net worth (USD) | Sources of wealth |
| --- | --- | --- | --- | --- |
| 32 | Klaus-Michael Kühne | Germany | 39.2 billion | Kuehne + Nagel |
| 37 | Dieter Schwarz | Germany | 38 billion | Schwarz Gruppe |
| 45 | Reinhold Wuerth | Germany | 33.6 billion | Würth Group |
| 68 | Stefan Quandt | Germany | 27.3 billion | BMW |
| 71 | Susanne Klatten | Germany | 26.5 billion | BMW, Altana, Nordex, SGL Carbon |
| 118 | Beate Heister (b. Albrecht) & Karl Albrecht Jr. | Germany | 15.9 billion | Aldi Süd |
| 129 | Andreas von Bechtolsheim | Germany | 14.8 billion | Sun Microsystems, Arista Networks |
| 135 | Theo Albrecht Jr. | Germany | 14 billion | Aldi Nord and Trader Joe's |
| 164 | Hasso Plattner | Germany | 12.1 billion | SAP |
| 195 | Georg Schaeffler | Germany | 10.9 billion | Schaeffler Group |
| 203 | Friedhelm Loh | Germany | 10.6 billion | Friedhelm Loh Group |
| 232 | Andreas Strüngmann | Germany | 9.8 billion | Hexal, BioNTech |
| 232 | Thomas Strüngmann | Germany | 9.8 billion | Hexal, BioNTech |
| 256 | Ludwig Merckle | Germany | 9.4 billion | Phoenix Pharmahandel, Ratiopharm, HeidelbergCement, Kässbohrer |
| 266 | August von Finck Jr. | Germany | 9.2 billion | Merck Finck & Co., Allianz, Hochtief, Löwenbräu, Mövenpick Hotels & Resorts |
| 287 | Alexander Otto | Germany | 8.8 billion | ECE Group |
| 317 | Michael Otto | Germany | 8.1 billion | Otto Group |
| 329 | Michael Herz | Germany | 7.9 billion | Tchibo, Beiersdorf |
| 329 | Wolfgang Herz | Germany | 7.9 billion | Tchibo, Beiersdorf |
| 358 | Jürgen Blickle | Germany | 7.4 billion | SEW Eurodrive |
| 385 | Nadia Thiele | Germany | 7.1 billion | Knorr-Bremse AG |
| 432 | Wolfgang Marguerre | Germany | 6.4 billion | Octapharma |
| 432 | Maximilian Viessmann | Germany | 6.4 billion | Viessmann |
| 498 | Theo Müller | Germany | 5.9 billion | Müller |
| 511 | Erich Wesjohann | Germany | 5.8 billion | EW Group |
| 529 | Wolfgang Reimann | Germany | 5.6 billion | JAB Holdings |
| 529 | Matthias Reimann-Andersen | Germany | 5.6 billion | JAB Holdings |
| 529 | Stefan Reimann-Andersen | Germany | 5.6 billion | JAB Holdings |
| 529 | Renate Reimann-Haas | Germany | 5.6 billion | JAB Holdings |
| 1135 | Albert Frère | Germany | 3 billion | Groupe Bruxelles Lambert |
| 1201 | Klaus Tschira | Germany | 2.8 billion | SAP |
| 1267 | Aloys Wobben | Germany | 2.6 billion | Enercon |
| 1321 | Friedrich Knapp | Germany | 2.5 billion | New Yorker |
| 1401 | Lutz Meschke | Germany | 2.3 billion | Porsche AG |
| 1542 | Martin Herrenknecht | Germany | 2 billion | Herrenknecht AG |
| 1618 | Udo Müller | Germany | 1.9 billion | Ströer SE & Co. KGaA |
| 1694 | Jörn Rausing | Germany | 1.8 billion | Tetra Laval |
| 1760 | Ralph Dommermuth | Germany | 1.7 billion | United Internet |
| 1829 | Stefan Persson | Germany | 1.6 billion | H&M |
| 2083 | Andreas Seifert | Germany | 1.2 billion | Lidl |
| 2145 | Helga Kellerhals | Germany | 1.1 billion | Keller Group |


## 2015 German billionaires list top 40

| World ranking | Name | Citizenship | Net worth (USD) | Sources of wealth |
| --- | --- | --- | --- | --- |
| 21 | Georg Schaeffler | Germany | 26.9 billion | Schaeffler Group |
| 37 | Beate Heister (b. Albrecht) & Karl Albrecht Jr. | Germany | 21.3 billion | Aldi Süd |
