List of private equity firms


# List of private equity firms



Below is a list of notable **private equity firms**.


## Largest private equity firms by PE capital raised

Each year Private Equity International publishes the PEI 300, a ranking of the largest private-equity firms by how much capital they have raised for private-equity investment in the last five years.

In the 2024 ranking, Blackstone Inc. retained the top spot from KKR.


| 2024 PEI 300 rank | Firm | Headquarters | Five-year fundraising total ($m) |
| --- | --- | --- | --- |
| 1 | Blackstone Inc. | New York City | 123,993 |
| 2 | KKR | New York City | 103,241 |
| 3 | EQT AB | Stockholm | 99,123 |
| 4 | CVC Capital Partners | Luxembourg France | 77,570 |
| 5 | TPG Inc. | Fort Worth, Texas | 61,934 |
| 6 | The Carlyle Group | Washington D.C. | 60,178 |
| 7 | Thoma Bravo | Chicago | 59,060 |
| 8 | Advent International | Boston | 52,939 |
| 9 | Warburg Pincus | New York City | 51,730 |
| 10 | Hg | London | 51,365 |
| 11 | Clayton, Dubilier & Rice | New York City | 50,039 |
| 12 | Silver Lake | Menlo Park, California | 49,121 |
| 13 | Hellman & Friedman | San Francisco | 46,715 |
| 14 | Vista Equity Partners | Austin, Texas | 45,262 |
| 15 | General Atlantic | New York City | 43,482 |
| 16 | Clearlake Capital Group | Santa Monica, California | 42,941 |
| 17 | Goldman Sachs Capital Partners | New York City | 42,432 |
| 18 | Leonard Green & Partners | Los Angeles | 40,870 |
| 19 | Permira Advisers | London | 37,322 |
| 20 | Bain Capital | Boston | 37,105 |
| 21 | Insight Partners | New York City | 35,285 |
| 22 | Cinven | London | 34,978 |
| 23 | Brookfield Asset Management | Toronto | 32,830 |
| 24 | TA Associates | Boston | 32,500 |
| 25 | Genstar Capital | San Francisco | 32,403 |
| 26 | Blue Owl Capital | New York | 30,232 |
| 27 | Francisco Partners | San Francisco | 29,961 |
| 28 | Ares Management | Los Angeles | 29,612 |
| 29 | Apollo Global Management | New York | 28,552 |
| 30 | Andreessen Horowitz | Menlo Park, California | 28,172 |


## List of investment banking private equity groups

| Parent bank | Private equity firm | Location | Year founded | Year independent |
| --- | --- | --- | --- | --- |
| ABN AMRO | AAC Capital Partners | Amsterdam | - | 2008 |
| AXA | Ardian | Paris | 1996 | 2013 |
| Bank of America | Ridgemont Equity Partners | Charlotte | 1993 | 2010 |
| Barclays Capital | Equistone Partners Europe | London | 1979 | 2011 |
| Barings Bank ^ | Baring Vostok Capital Partners Baring Private Equity Asia | Moscow Hong Kong | 1994 1997 | 2004 2000 |
| Bear Stearns ^ | Kohlberg Kravis Roberts Irving Place Capital (fka BSMB) | New York New York | 1965 1997 | 1976 2008 |
| BNP Paribas | PAI Partners BNP Paribas Développement | Paris Paris | 1993 2016 | 1998 - |
| BT Alex. Brown ^ | ABS Capital | Baltimore | 1990 | 1995 |
| CIBC World Markets | Trimaran Capital Partners | New York | 1995 | 2001 |
| Citigroup | Court Square Capital Partners CVC Capital Partners Welsh, Carson, Anderson & Stowe Bruckmann, Rosser, Sherrill & Co. | New York Luxembourg France New York New York | 1968 1981 1979 1995 | 2006 1993 1979 1995 |
| Crédit Agricole / LCL | Omnes Capital | Paris | 1999 | 2011 |
| Credit Suisse / Donaldson, Lufkin & Jenrette ^ | DLJ Merchant Banking Avista Capital Partners Diamond Castle Holdings Castle Harlan CIP Capital | New York New York New York New York New York | 1985 1985 1985 1987 2010 | na 2005 2004 1987 2010 |
| Continental Illinois ^ | Willis Stein & Partners CIVC Partners | Chicago Chicago | 1983 1983 | 1995 1994 |
| Deutsche Bank | MidOcean Partners | New York | 2003 | 2003 |
| First Chicago Bank ^ | Madison Dearborn Partners GTCR | Chicago Chicago | 1992 1980 | 1992 1980 |
| Goldman Sachs | Goldman Sachs Capital Partners Goldman Sachs Principal Investments Area | New York | 1986 | na |
| JPMorgan Chase & Co. | CCMP Capital (fka JPMorgan Partners) HPS Investment Partners One Equity Partners | New York New York Chicago | 1984 2007 2001 | 2006 2016 na |
| Lazard | Lazard Alternative Investments | New York | - | - |
| Lehman Brothers ^ | Blackstone Group The Cypress Group Trilantic Capital Partners | New York New York New York | 1985 1994 1986 | 1985 1994 2009 |
| Lloyds Banking Group | Lloyds Development Capital | London | 1981 | na |
| Macquarie Group | Macquarie Infrastructure and Real Assets | Sydney | 1994 | na |
| Merrill Lynch | Merrill Lynch Global Private Equity | New York | 1996 | na |
| Morgan Stanley | Metalmark Capital Morgan Stanley Capital Partners | New York New York | 1985 | 2004 |
| National Westminster Bank | Bridgepoint Capital | London | 1984 | 2000 |
| Nomura Group | Terra Firma Capital Partners | London | 1994 | 2002 |
| Rothschild & Co | Five Arrows Principal Investments Five Arrows Capital Partners | Paris New York | 2010 2018 | - - |
| Société Générale | Société Générale Capital Partenaires | Paris | 1973 | - |
| UBS | UBS Capital Affinity Equity Partners Capvis Lightyear Capital | London Hong Kong Zurich New York | - 1995 1990 2000 | na 2002 2003 2002 |
| Wells Fargo | Pamlico Capital | Charlotte | 1988 | 2010 |
| William Blair & Company | William Blair Capital Partners | Chicago | 1982 | 2004 |

^ Defunct banking institution


## Notable private equity firms


### Americas


### Asia


### EMEA

