List of countries by price level


# List of countries by price level




The **list of countries by price level** shows countries by their price level index. The data has been collected by the World Bank's International Comparison Program since the 1970s and has been available for almost all World Bank member states and some other territories since 1990. The Global price level, as reported by the World Bank, is a way to compare the cost of living between different countries. It's measured using Purchasing Power Parities (PPPs), which help us understand how much money is needed to buy the same things in different places. Price level indexes (PLIs), with the world average set at 100, are calculated by dividing the purchasing power parities (PPPs), where 1 PPP equals 1 US dollar in the US, by the market exchange rates, also equated to 1 US dollar. These ratios are then adjusted to align with the global average, which is standardized at 100. When the PLI exceeds 100, it signifies that the prices in that economy are above the global average. Conversely, a PLI below 100 suggests that the prices are below the world average.


## List

Countries by global price level (World average=100)
| Rank | County/Territory | Global price level (% of world average) | Year |
| --- | --- | --- | --- |
| 1 | Bermuda | 193.5 | 2021 |
| 2 | Barbados | 188.9 | 2021 |
| 3 | Cayman Islands | 184.7 | 2021 |
| 4 | Switzerland | 181.4 | 2021 |
| 5 | Israel | 179.1 | 2021 |
| 6 | Iceland | 177.1 | 2021 |
| 7 | Turks and Caicos Islands | 172.8 | 2021 |
| 8 | Australia | 168.6 | 2021 |
| 9 | Norway | 165.3 | 2021 |
| 10 | New Zealand | 163.2 | 2021 |
| 11 | Faroe Islands | 160.7 | 2021 |
| 12 | United States | 158.5 | 2021 |
| 13 | Denmark | 157.0 | 2021 |
| 14 | Bahamas | 154.9 | 2021 |
| 15 | Luxembourg | 153.6 | 2021 |
| 16 | Sweden | 153.5 | 2021 |
| 17 | Canada | 149.1 | 2021 |
| 18 | Finland | 146.7 | 2021 |
| 19 | US Virgin Islands | 143.8 | 2021 |
| 20 | Japan | 142.5 | 2021 |
| 21 | Ireland | 141.6 | 2021 |
| 22 | United Kingdom | 140.5 | 2021 |
| 23 | Netherlands | 137.5 | 2021 |
| 24 | Austria | 133.7 | 2021 |
| 25 | Greenland | 132.9 | 2021 |
| 26 | San Marino | 132.6 | 2021 |
| 27 | Belgium | 132.3 | 2021 |
| 28 | Germany | 131.6 | 2021 |
| 29 | France | 128.5 | 2021 |
| 30 | Puerto Rico | 127.5 | 2021 |
| 31 | Anguilla | 123.0 | 2021 |
| 32 | Aruba | 120.6 | 2021 |
| 33 | Hong Kong | 119.7 | 2021 |
| 34 | Italy | 115.7 | 2021 |
| 35 | South Korea | 114.6 | 2021 |
| 36 | Curacao | 113.9 | 2021 |
| 37 | Andorra | 113.3 | 2021 |
| 38 | Spain | 110.7 | 2021 |
| 39 | Saint Kitts and Nevis | 108.2 | 2021 |
| 40 | Cyprus | 107.0 | 2021 |
| 41 | Kuwait | 106.3 | 2021 |
| 42 | Antigua and Barbuda | 106.1 | 2021 |
| 43 | Malta | 103.5 | 2021 |
| 44 | Palestine | 102.9 | 2021 |
| 45 | Uruguay | 102.3 | 2021 |
| 46 | United Arab Emirates | 101.9 | 2021 |
| 47 | Grenada | 100.8 | 2021 |
| 48 | Portugal | 100.8 | 2021 |
| 49 | Slovenia | 99.9 | 2021 |
| 50 | China | 97.9 | 2021 |
| 51 | Greece | 97.5 | 2021 |
| 52 | Qatar | 97.0 | 2021 |
| 53 | Macao | 96.9 | 2021 |
| 54 | Singapore | 95.6 | 2021 |
| 55 | Trinidad and Tobago | 92.1 | 2021 |
| 56 | Slovakia | 91.3 | 2021 |
| 57 | Latvia | 90.2 | 2021 |
| 58 | Chile | 88.3 | 2021 |
| 59 | Czech Republic | 87.8 | 2021 |
| 60 | Saint Lucia | 86.8 | 2021 |
| 61 | Zimbabwe | 85.8 | 2021 |
| 62 | Maldives | 84.6 | 2021 |
| 63 | Saint Vincent and the Grenadines | 84.5 | 2021 |
| 64 | Haiti | 84.4 | 2021 |
| 65 | Costa Rica | 84.3 | 2021 |
| 66 | Dominica | 84.0 | 2021 |
