List of Asian countries by average wage


# List of Asian countries by average wage



This is the map and list of Asian countries by monthly average wage (annual divided by 12 months) gross and net income (after taxes) average wages for full-time employees in their local currency and in US Dollar. The chart below reflects the average (mean) wage as reported by various data providers. The salary distribution is right-skewed, therefore more than 50% of people earn less than the average gross salary. Thus, the median figures provided further below might be more representative than averages


## Maps


### Net average monthly salary

The countries and territories have a **net average monthly salary** of:

| Green | above $2,000 |
| --- | --- |
| Blue | $1,000 to $1,999 |
| Orange | $500 to $999 |
| Red | below $500 |


### Gross average monthly salary

The countries and territories have a **gross average monthly salary** of:

| Green | above $2,000 |
| --- | --- |
| Blue | $1,000 to $1,999 |
| Orange | $500 to $999 |
| Red | below $500 |


### Net average monthly salary (adjusted for living costs in PPP)

The countries and territories on the map have a **net average monthly salary** (adjusted for living costs in PPP) of:

| Green | above $4,000 |
| --- | --- |
| Blue | $2,000 to $3,999 |
| Orange | $1,000 to $1,999 |
| Red | below $1,000 |


## Asian countries by monthly average wage

| State | Gross in local currency | Net in local currency | Exchangerate to US$ | Date | Gross (US$) | Net (US$) | Net (PPP) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Afghanistan** | AFN 17,800 | AFN 15,100 | 0.0136 | 2023-10 | 242 | 205 | 820 |
| **Armenia** | ֏ 239,742 | ֏ 173,108 | 0.00244 | 2022-08 | 591 | 426 | 1,051 |
| **Azerbaijan** | ₼ 934 | ₼ 831 | 0.59 | 2024-02 | 549 | 489 | 1,213 |
| **Bahrain** | dinar 840 | dinar 775 | 2.66 | 2023-10 | 2,234 | 2,061 | 4,189 |
| **Bangladesh** | Tk 26,867 | Tk 26,867 | 0.009 | 2023-10 | 243 | 243 | 858 |
| **Bhutan** | BTN 38,920 | BTN 37,250 | 0.012 | 2023-10 | 467 | 448 | 1,854 |
| **Brunei** | B$2,316 | B$2,316 | 0.7376 | 2023-10 | 1,708 | 1,708 | 3,130 |
| **Cambodia** | riel 1,213 | riel 1,213 | 0.00024 | 2023-10 | 294 | 294 | 900 |
| **China** | CN¥ 10,058 (urban non-private sector) CN¥ 5,695 (urban private sector) | CN¥ 7,105 (urban non-private sector) CN¥ 4,062 (urban private sector) | 0.14 | 2023 | 1,417 (urban non-private sector) 802 (urban private sector) | 1,001 (urban non-private sector) 572 (urban private sector) | 1,781 (urban non-private sector) 1,018 (urban private sector) |
| **Cyprus** | €2,217 | €1,904 | 1.07 | 2023-Q1 | 2,372 | 2,037 | 3,358 |
| **East Timor** | US$175 | US$175 | 1.0 | 2023-10 | 175 | 175 | 447 |
| **Georgia** | ₾2,045 | ₾1,636 | 0.37 | 2023-Q4 | 763 | 610 | 1,703 |
| **Hong Kong** | HK$19,100 | HK$17,883 | 0.128 | 2022-05 | 2,439 | 2,284 | 3,219 |
| **India** | ₹ 17,166 (self employed urban males) ₹ 9,661 (self employed rural males) | ₹ 15,106 (self employed urban males) ₹ 8,502 (self employed rural males) | 0.012 | 2022 | 206 (self employed urban males) 116 (self employed rural males) | 181 (self employed urban males) 102 (self employed rural males) | 628 (self employed urban males) 353 (self employed rural males) |
| **Indonesia** | Rp 5,600,000 | Rp 5,100,000 | 0.000064 | 2023-10 | 358 | 326 | 1,051 |
| **Iran** | rial 11,261,873 | rial 11,261,873 | 0.0000236 | 2023-10 | 266 | 266 | 1,253 |
| **Iraq** | dinar 741,398 | dinar 719,453 | 0.000764 | 2023-10 | 568 | 550 | 959 |
| **Israel** | shekel 14,104 | shekel 13,305 | 0.262 | 2024-05 | 3,695 | 3,486 | 3,576 |
| **Japan** | JP¥ 381,667 | JP¥ 296,458 | 0.007 | 2020 | 2,661 | 2,067 | 2,943 |
| **Jordan** | dinar 478 | dinar 442 | 1.41 | 2023-10 | 623 | 478 | 1,562 |
| **Kazakhstan** | ₸ 400,000 | ₸ 382,267 | 0.002272 | 2024-03 | 895 | 868 | 1,416 |
| **Kuwait** | dinar 940 | dinar 840 | 3.237 | 2023-10 | 3,043 | 2,719 | 5,250 |
| **Kyrgyzstan** | 24,594 som | 22,135 som | 0.0114 | 2022-Q3 | 281 | 253 | 1,079 |
| **Laos** | ₭ 2,300,000 | ₭ 2,250,000 | 0.00005 | 2023-10 | 111 | 108 | 790 |
| **Lebanon** | lira 7,100,000 | lira 6,200,000 | 0.0000666 | 2023-10 | 470 | 410 | 1,010 |
| **Malaysia** | RM 3,441 | RM 3,036 | 0.2193 | 2023 | 755 | 666 | 2,123 |
| **Maldives** | Rf 14,192 | Rf 14,192 | 0.065 | 2023-10 | 920 | 920 | 1,944 |
| **Mongolia** | ₮ 1,300,000 | ₮ 1,170,000 | 0.0002828 | 2020 | 368 | 331 | 1,153 |
| **Myanmar** | kyat 350000 | kyat 310,000 | 0.0005 | 2023-10 | 310 | 290 | 1,355 |
| **Nepal** | Rs 32,000 | Rs 28,329 | 0.0075 | 2023-10 | 240 | 213 | 797 |
| **North Korea** | ₩ 10,000 | ₩ 10,000 | 0.001 | 2023-10 | 10 | 10 | 30 |
| **Oman** | rial 915 | rial 842 | 2.6 | 2023-10 | 2,377 | 2,187 | 3,645 |
| **Pakistan** | Rs 44,300 | Rs 44,000 | 0.00356 | 2023 | 158 | 157 | 852 |
| **Philippines** | ₱ 18,423 | ₱ 17,488 | 0.017 | 2023 | 316 | 300 | 1,028 |
| **Qatar** | riyal 16,500 | riyal 15,674 | 0.274 | 2023-10 | 4,533 | 4,306 | 5,628 |
| **Russia** | ₽ 71,419 | ₽ 62,135 | 0.01 | 2023-07 | 707 | 615 | 2,159 |
| **Saudi Arabia** | ﷼8,500 | 7,650﷼ | 0.267 | 2023-06 | 2,267 | 2,040 | 4,419 |
| **Singapore** | S$7,294 | S$5,745 | 0.749 | 2024-10 | 5,460 | 4,301 | 6,798 |
| **South Korea** | 3,796,000 ₩ | 3,137,217 ₩ | 0.000713 | 2024-08 | 2,707 | 2,237 | 4,036 |
| **Sri Lanka** | Rs 65,100 | Rs 59,900 | 0.003 | 2023-10 | 199 | 182 | 1,102 |
| **Syria** | lira 680,000 | lira 572,100 | 0.000077 | 2023-10 | 52 | 44 | 100 |
| **Taiwan** | NT$61,920 | NT$55,742 | 0.031 | 2023-07 | 1,957 | 1,763 | 4,131 |
| **Tajikistan** | somoni 2,110 | somoni 1,858 | 0.0911 | 2023-10 | 192 | 169 | 780 |
| **Thailand** | ฿ 15,715 | ฿ 14,842 | 0.029 | 2024-Q3 | 455 | 430 | 1,241 |
| **Turkey** | ₺ 37,200 | ₺ 20,700 | 0.029 | 2024-02 | 1,095 | 609 | 2,150 |
| **Turkmenistan** | manat 3,080 | manat 2,767 | 0.286 | 2023-10 | 881 | 792 | 1,215 |
| **United Arab Emirates** | 12,745 dirhams | 12,108 dirhams | 0.272 | 2023-04 | 3,470 | 3,297 | 5,585 |
| **Uzbekistan** | sum 5,800,000 | sum 4,280,000 | 0.00008 | 2023-10 | 471 | 348 | 1,637 |
| **Vietnam** | dong 12,526,000 | dong 11,200,000 | 0.00004 | 2023–10 | 512 | 459 | 1,555 |
| **Yemen** | rial 132,500 | rial 93,886 | 0.004 | 2023-10 | 529 | 375 | 1,248 |

