List of Turkish provinces by GDP


# List of Turkish provinces by GDP



This is a **list of Turkish provinces by GDP** and GDP per capita.


## List of provinces by GDP

Provinces by GDP in 2021 according to data by the Turkish Statistical Institute.

List of provinces in Turkey by GDP in 2021 (millions of GDP)
| Average annual exchange rate in 2021: TRY 8.9808 per U.S. dollar | | | |
| --- | --- | --- | --- |
| Rank | Provinces | GDP (TRY) | GDP (US$) | Share (%) |
| 1 | Istanbul | 2,202,156 | 276,207 | 30.38 |
| 2 | Ankara | 667,142 | 74,285 | 9.20 |
| 3 | İzmir | 462,151 | 51,460 | 6.38 |
| 4 | Kocaeli | 309,314 | 34,442 | 4.27 |
| 5 | Bursa | 302,121 | 33,641 | 4.17 |
| 6 | Antalya | 208,472 | 23,213 | 2.88 |
| 7 | Konya | 149,229 | 16,616 | 2.06 |
| 8 | Gaziantep | 148,588 | 16,545 | 2.05 |
| 9 | Tekirdağ | 145,716 | 16,225 | 2.01 |
| 10 | Adana | 141,673 | 15,775 | 1.95 |
| 11 | Mersin | 139,761 | 15,562 | 1.93 |
| 12 | Manisa | 122,438 | 13,633 | 1.69 |
| 13 | Kayseri | 107,378 | 11,956 | 1.49 |
| 14 | Hatay | 101,462 | 11,298 | 1.40 |
| 15 | Balıkesir | 90,054 | 10,027 | 1.24 |
| 16 | Muğla | 84,810 | 9,444 | 1.17 |
| 17 | Sakarya | 81,740 | 9,102 | 1.13 |
| 18 | Eskişehir | 81,527 | 9,078 | 1.12 |
| 19 | Denizli | 81,382 | 9,062 | 1.12 |
| 20 | Samsun | 74,830 | 8,332 | 1.03 |
| 21 | Aydın | 65,204 | 7,260 | 0.90 |
| 22 | Kahramanmaraş | 63,004 | 7,015 | 0.87 |
| 23 | Diyarbakır | 62,494 | 6,959 | 0.86 |
| 24 | Şanlıurfa | 57,589 | 6,413 | 0.80 |
| 25 | Çanakkale | 49,142 | 5,472 | 0.68 |
| 26 | Trabzon | 43,979 | 4,897 | 0.61 |
| 27 | Mardin | 42,541 | 4,737 | 0.59 |
| 28 | Zonguldak | 42,031 | 4,680 | 0.58 |
| 29 | Afyonkarahisar | 40,975 | 4,563 | 0.57 |
| 30 | Malatya | 38,831 | 4,324 | 0.54 |
| 31 | Kütahya | 38,655 | 4,304 | 0.53 |
| 32 | Sivas | 36,080 | 4,018 | 0.50 |
| 33 | Kırklareli | 35,220 | 3,922 | 0.49 |
| 34 | Erzurum | 35,185 | 3,918 | 0.49 |
| 35 | Elazığ | 33,124 | 3,688 | 0.46 |
| 36 | Ordu | 33,093 | 3,685 | 0.46 |
| 37 | Van | 31,824 | 3,544 | 0.44 |
| 38 | Osmaniye | 30,946 | 3,446 | 0.43 |
| 39 | Düzce | 30,547 | 3,041 | 0.42 |
| 40 | Yalova | 29,308 | 3,263 | 0.40 |
| 41 | Bolu | 29,265 | 3,259 | 0.40 |
| 42 | Edirne | 28,029 | 3,121 | 0.39 |
| 43 | Uşak | 27,670 | 3,081 | 0.38 |
| 44 | Aksaray | 27,622 | 3,076 | 0.38 |
| 45 | Isparta | 27,333 | 3,044 | 0.38 |
| 46 | Çorum | 25,758 | 2,868 | 0.36 |
| 47 | Kastamonu | 25,542 | 2,844 | 0.35 |
| 48 | Şırnak | 24,415 | 2,719 | 0.34 |
| 49 | Tokat | 24,396 | 2,717 | 0.34 |
| 50 | Adıyaman | 23,236 | 2,587 | 0.32 |
| 51 | Bilecik | 23,515 | 2,618 | 0.32 |
| 52 | Batman | 22,798 | 2,539 | 0.32 |
| 53 | Giresun | 21,234 | 2,364 | 0.29 |
| 54 | Rize | 20,209 | 2,250 | 0.28 |
| 55 | Erzincan | 20,019 | 2,229 | 0.28 |
| 56 | Niğde | 19,603 | 2,183 | 0.27 |
| 57 | Kırıkkale | 18,663 | 2,078 | 0.26 |
| 58 | Yozgat | 18,313 | 2,039 | 0.25 |
| 59 | Karaman | 18,109 | 2,016 | 0.25 |
| 60 | Burdur | 18,025 | 2,007 | 0.25 |
| 61 | Amasya | 17,699 | 1,971 | 0.24 |
| 62 | Karabük | 17,120 | 1,906 | 0.24 |
| 63 | Nevşehir | 15,807 | 1,760 | 0.22 |
