List of U.S. metropolitan areas by GDP per capita


# List of U.S. metropolitan areas by GDP per capita



This is a list of U.S. metropolitan areas by their gross domestic product per capita in 2021.


## GDP per capita for US metropolitan statistical areas (in 2021 dollars)

| Rank | City | Population | GDP (in millions of USD) | GDP per capita |
| --- | --- | --- | --- | --- |
| 1 | Midland, TX MSA | 173,180 | $39,497 | $228,069 |
| 2 | San Jose-Sunnyvale-Santa Clara, CA MSA | 1,952,185 | $410,418 | $210,235 |
| 3 | San Francisco-Oakland-Berkeley, CA MSA | 4,623,264 | $668,677 | $144,633 |
| 4 | Seattle-Tacoma-Bellevue, WA MSA | 4,011,553 | $479,966 | $119,646 |
| 5 | Trenton-Princeton, NJ MSA | 385,898 | $43,633 | $113,069 |
| 6 | Boston-Cambridge-Newton, MA-NH MSA | 4,899,932 | $531,671 | $108,506 |
| 7 | Bridgeport-Stamford-Norwalk, CT MSA | 959,768 | $98,751 | $102,890 |
| 8 | New York-Newark-Jersey City, NY-NJ-PA MSA | 19,768,458 | $1,992,779 | $100,806 |
| 9 | Boulder, CO MSA | 329,543 | $33,182 | $100,691 |
| 10 | Washington-Arlington-Alexandria, DC-VA-MD-WV MSA | 6,356,434 | $607,628 | $95,593 |
| 11 | Salt Lake City, UT MSA | 1,263,061 | $118,494 | $93,815 |
| 12 | Durham-Chapel Hill, NC MSA | 654,012 | $60,814 | $92,986 |
| 13 | Sioux Falls, SD MSA | 281,958 | $26,063 | $92,436 |
| 14 | Bloomington, IL MSA | 170,889 | $15,140 | $88,596 |
| 15 | Lima, OH MSA | 101,670 | $8,962 | $88,148 |
| 16 | Hartford-East Hartford-Middletown, CT MSA | 1,211,906 | $106,507 | $87,884 |
| 17 | Columbus, IN MSA | 82,475 | $7,205 | $87,360 |
| 18 | Los Angeles-Long Beach-Anaheim, CA MSA | 12,997,353 | $1,124,682 | $86,532 |
| 19 | Denver-Aurora-Lakewood, CO MSA | 2,972,566 | $253,399 | $85,246 |
| 20 | Des Moines-West Des Moines, IA MSA | 719,146 | $61,171 | $85,061 |
| 21 | Elkhart-Goshen, IN MSA | 206,921 | $17,529 | $84,713 |
| 22 | Madison, WI MSA | 683,183 | $56,636 | $82,900 |
| 23 | Austin-Round Rock-Georgetown, TX MSA | 2,352,426 | $193,773 | $82,372 |
| 24 | Albany-Schenectady-Troy, NY MSA | 899,286 | $73,995 | $82,282 |
| 25 | Wheeling, WV-OH MSA | 137,740 | $11,239 | $81,596 |
| 26 | San Diego-Chula Vista-Carlsbad, CA MSA | 3,286,069 | $267,973 | $81,548 |
| 27 | Nashville-Davidson–Murfreesboro–Franklin, TN MSA | 2,012,476 | $163,031 | $81,010 |
| 28 | Minneapolis-St. Paul-Bloomington, MN-WI MSA | 3,690,512 | $296,969 | $80,468 |
| 29 | Chicago-Naperville-Elgin, IL-IN-WI MSA | 9,509,934 | $764,583 | $80,398 |
| 30 | Dubuque, IA MSA | 98,718 | $7,840 | $79,418 |
| 31 | Baltimore-Columbia-Towson, MD MSA | 2,838,327 | $222,967 | $78,556 |
| 32 | Manchester-Nashua, NH MSA | 424,079 | $32,729 | $77,177 |
| 33 | Atlanta-Sandy Springs-Alpharetta, GA MSA | 6,144,050 | $473,823 | $77,119 |
| 34 | Dallas-Fort Worth-Arlington, TX MSA | 7,759,615 | $598,333 | $77,109 |
| 35 | Charlotte-Concord-Gastonia, NC-SC MSA | 2,701,046 | $207,866 | $76,958 |
| 36 | Decatur, IL MSA | 102,432 | $7,856 | $76,695 |
| 37 | Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA | 6,228,601 | $477,580 | $76,675 |
| 38 | Indianapolis-Carmel-Anderson, IN MSA | 2,126,804 | $162,062 | $76,200 |
| 39 | Omaha-Council Bluffs, NE-IA MSA | 971,637 | $73,876 | $76,033 |
| 40 | Cincinnati, OH-KY-IN MSA | 2,259,935 | $171,737 | $75,992 |
| 41 | Lake Charles, LA MSA | 210,362 | $15,791 | $75,066 |
| 42 | Raleigh-Cary, NC MSA | 1,448,411 | $108,288 | $74,763 |
| 43 | California-Lexington Park, MD MSA | 114,468 | $8,554 | $74,728 |
| 44 | Santa Maria-Santa Barbara, CA MSA | 446,475 | $33,306 | $74,598 |
| 45 | Houston-The Woodlands-Sugar Land, TX MSA | 7,206,841 | $537,066 | $74,522 |
| 46 | Portland-Vancouver-Hillsboro, OR-WA MSA | 2,511,612 | $186,570 | $74,283 |
| 47 | Casper, WY MSA | 79,555 | $5,887 | $73,999 |
| 48 | Napa, CA MSA | 136,207 | $10,062 | $73,873 |
| 49 | Harrisburg-Carlisle, PA MSA | 596,305 | $43,867 | $73,565 |
| 50 | Vallejo, CA MSA | 451,716 | $33,100 | $73,276 |
| 51 | Columbus, OH MSA | 2,151,017 | $154,509 | $71,831 |
| 52 | Carson City, NV MSA | 58,993 | $4,225 | $71,619 |
| 53 | Pittsburgh, PA MSA | 2,353,538 | $168,021 | $71,391 |
| 54 | Reno, NV MSA | 497,535 | $35,471 | $71,293 |
| 55 | Santa Rosa-Petaluma, CA MSA | 485,887 | $34,450 | $70,901 |
| 56 | Charlottesville, VA MSA | 222,688 | $15,762 | $70,781 |
| 57 | Odessa, TX MSA | 161,091 | $11,399 | $70,761 |
| 58 | Anchorage, AK MSA | 398,807 | $28,210 | $70,736 |
| 59 | Syracuse, NY MSA | 658,281 | $46,414 | $70,508 |
| 60 | Salinas, CA MSA | 437,325 | $30,712 | $70,227 |
| 61 | Fargo, ND-MN MSA | 252,136 | $17,706 | $70,224 |
| 62 | Portland-South Portland, ME MSA | 556,893 | $39,089 | $70,191 |
| 63 | Kansas City, MO-KS MSA | 2,199,490 | $154,328 | $70,165 |
| 64 | Oxnard-Thousand Oaks-Ventura, CA MSA | 839,784 | $58,332 | $69,461 |
| 65 | Burlington-South Burlington, VT MSA | 226,611 | $15,669 | $69,145 |
| 66 | Miami-Fort Lauderdale-Pompano Beach, FL MSA | 6,091,747 | $417,147 | $68,477 |
| 67 | Kankakee, IL MSA | 106,601 | $7,282 | $68,311 |
| 68 | San Angelo, TX MSA | 122,344 | $8,299 | $67,833 |
| 69 | Huntsville, AL MSA | 502,728 | $34,086 | $67,802 |
| 70 | Fairbanks, AK MSA | 95,593 | $6,477 | $67,756 |
| 71 | Sioux City, IA-NE-SD MSA | 149,265 | $10,111 | $67,739 |
| 72 | Wausau-Weston, WI MSA | 166,189 | $11,250 | $67,694 |
| 73 | Evansville, IN-KY MSA | 313,946 | $21,248 | $67,680 |
| 74 | Iowa City, IA MSA | 177,239 | $11,989 | $67,643 |
| 75 | Oshkosh-Neenah, WI MSA | 171,623 | $11,586 | $67,508 |
| 76 | Santa Cruz-Watsonville, CA MSA | 267,792 | $18,076 | $67,500 |
| 77 | Urban Honolulu, HI MSA | 1,000,890 | $67,383 | $67,323 |
| 78 | Ithaca, NY MSA | 105,162 | $7,044 | $66,982 |
| 79 | St. Louis, MO-IL MSA | 2,809,299 | $187,569 | $66,767 |
| 80 | Green Bay, WI MSA | 329,490 | $21,991 | $66,743 |
| 81 | Waterloo-Cedar Falls, IA MSA | 167,796 | $11,197 | $66,730 |
| 82 | New Haven-Milford, CT MSA | 863,700 | $57,541 | $66,622 |
| 83 | Sacramento-Roseville-Folsom, CA MSA | 2,411,428 | $160,542 | $66,575 |
| 84 | Appleton, WI MSA | 244,084 | $16,202 | $66,379 |
| 85 | Buffalo-Niagara Falls, NY MSA | 1,162,336 | $76,991 | $66,238 |
| 86 | Sheboygan, WI MSA | 117,747 | $7,747 | $65,794 |
| 87 | Lincoln, NE MSA | 342,117 | $22,492 | $65,744 |
| 88 | Ocean City, NJ MSA | 95,661 | $6,279 | $65,638 |
| 89 | Cheyenne, WY MSA | 100,863 | $6,608 | $65,515 |
| 90 | Gainesville, GA MSA | 207,369 | $13,561 | $65,396 |
| 91 | Barnstable Town, MA MSA | 232,411 | $15,150 | $65,186 |
| 92 | Detroit–Warren–Dearborn, MI MSA | 4,365,205 | $283,660 | $64,982 |
| 93 | Greeley, CO MSA | 340,036 | $22,082 | $64,940 |
| 94 | New Orleans-Metairie, LA MSA | 1,261,726 | $81,829 | $64,855 |
| 95 | Memphis, TN-MS-AR MSA | 1,336,103 | $86,493 | $64,735 |
| 96 | Ann Arbor, MI MSA | 369,390 | $23,859 | $64,590 |
| 97 | Louisville/Jefferson County, KY-IN MSA | 1,284,566 | $82,866 | $64,509 |
| 98 | Davenport-Moline-Rock Island, IA-IL MSA | 381,568 | $24,603 | $64,479 |
| 99 | Baton Rouge, LA MSA | 871,905 | $56,199 | $64,455 |
| 100 | Crestview-Fort Walton Beach-Destin, FL MSA | 293,324 | $18,899 | $64,430 |
| 101 | Grand Island, NE MSA | 76,175 | $4,871 | $63,945 |
| 102 | Rochester, NY MSA | 1,084,973 | $69,341 | $63,910 |
| 103 | Phoenix-Mesa-Chandler, AZ MSA | 4,946,145 | $316,090 | $63,906 |
| 104 | Birmingham-Hoover, AL MSA | 1,114,262 | $70,874 | $63,606 |
| 105 | Lexington-Fayette, KY MSA | 517,846 | $32,851 | $63,438 |
| 106 | Norwich-New London, CT MSA | 268,805 | $17,008 | $63,273 |
| 107 | Kahului-Wailuku-Lahaina, HI MSA | 164,221 | $10,356 | $63,061 |
| 108 | Greenville, NC MSA | 172,169 | $10,841 | $62,967 |
| 109 | Toledo, OH MSA | 644,217 | $40,546 | $62,938 |
| 110 | Springfield, IL MSA | 206,898 | $13,019 | $62,925 |
| 111 | Grand Rapids-Kentwood, MI MSA | 1,091,620 | $68,401 | $62,660 |
| 112 | Wichita, KS MSA | 647,919 | $40,586 | $62,641 |
| 113 | Savannah, GA MSA | 410,008 | $25,681 | $62,635 |
| 114 | Wilmington, NC MSA | 291,833 | $18,203 | $62,375 |
| 115 | Charleston-North Charleston, SC MSA | 813,052 | $50,704 | $62,363 |
| 116 | Naples-Marco Island, FL MSA | 385,980 | $24,020 | $62,231 |
| 117 | Orlando-Kissimmee-Sanford, FL MSA | 2,691,925 | $167,279 | $62,141 |
| 118 | Shreveport-Bossier City, LA MSA | 389,155 | $24,153 | $62,065 |
| 119 | Jacksonville, FL MSA | 1,637,666 | $101,367 | $61,897 |
| 120 | State College, PA MSA | 157,527 | $9,750 | $61,894 |
| 121 | Billings, MT MSA | 187,037 | $11,570 | $61,859 |
| 122 | Beaumont-Port Arthur, TX MSA | 395,419 | $24,407 | $61,724 |
| 123 | Bend, OR MSA | 204,801 | $12,618 | $61,611 |
| 124 | Bismarck, ND MSA | 134,417 | $8,243 | $61,324 |
| 125 | Cedar Rapids, IA MSA | 275,435 | $16,853 | $61,187 |
| 126 | Richmond, VA MSA | 1,324,062 | $80,909 | $61,107 |
| 127 | Morgantown, WV MSA | 140,745 | $8,597 | $61,082 |
| 128 | Idaho Falls, ID MSA | 162,786 | $9,915 | $60,908 |
| 129 | St. Cloud, MN MSA | 200,406 | $12,202 | $60,886 |
| 130 | Amarillo, TX MSA | 269,703 | $16,313 | $60,485 |
| 131 | Weirton-Steubenville, WV-OH MSA | 115,585 | $6,966 | $60,267 |
| 132 | Oklahoma City, OK MSA | 1,441,647 | $86,662 | $60,113 |
| 133 | Ames, IA MSA | 126,195 | $7,583 | $60,090 |
| 134 | Wenatchee, WA MSA | 123,342 | $7,403 | $60,020 |
| 135 | Watertown-Fort Drum, NY MSA | 116,295 | $6,972 | $59,951 |
| 136 | Pittsfield, MA MSA | 128,657 | $7,682 | $59,709 |
| 137 | Longview, TX MSA | 287,868 | $17,134 | $59,520 |
| 138 | Eau Claire, WI MSA | 173,317 | $10,308 | $59,475 |
| 139 | Jefferson City, MO MSA | 150,706 | $8,956 | $59,427 |
| 140 | Mankato, MN MSA | 103,612 | $6,157 | $59,424 |
| 141 | Las Vegas-Henderson-Paradise, NV MSA | 2,292,476 | $136,198 | $59,411 |
| 142 | Virginia Beach-Norfolk-Newport News, VA-NC MSA | 1,803,328 | $107,067 | $59,372 |
| 143 | Champaign-Urbana, IL MSA | 222,696 | $13,219 | $59,359 |
| 144 | Milwaukee-Waukesha, WI MSA | 1,566,487 | $92,834 | $59,263 |
| 145 | Peoria, IL MSA | 398,224 | $23,599 | $59,261 |
| 146 | Bloomsburg-Berwick, PA MSA | 82,959 | $4,916 | $59,258 |
| 147 | Tampa-St. Petersburg-Clearwater, FL MSA | 3,219,514 | $190,708 | $59,235 |
| 148 | Fayetteville-Springdale-Rogers, AR MSA | 560,709 | $33,102 | $59,036 |
| 149 | Corpus Christi, TX MSA | 422,778 | $24,937 | $58,984 |
| 150 | Tulsa, OK MSA | 1,023,988 | $60,392 | $58,977 |
| 151 | Rochester, MN MSA | 227,151 | $13,390 | $58,948 |
| 152 | Cleveland-Elyria, OH MSA | 2,075,662 | $122,275 | $58,909 |
| 153 | Allentown-Bethlehem-Easton, PA-NJ MSA | 865,310 | $50,960 | $58,892 |
| 154 | Glens Falls, NY MSA | 126,574 | $7,446 | $58,827 |
| 155 | Salisbury, MD-DE MSA | 429,223 | $25,194 | $58,697 |
| 156 | Harrisonburg, VA MSA | 135,824 | $7,972 | $58,694 |
| 157 | Akron, OH MSA | 700,015 | $41,058 | $58,653 |
| 158 | Mount Vernon-Anacortes, WA MSA | 130,696 | $7,659 | $58,602 |
| 159 | Knoxville, TN MSA | 893,412 | $52,343 | $58,588 |
| 160 | College Station-Bryan, TX MSA | 272,041 | $15,896 | $58,432 |
| 161 | Manhattan, KS MSA | 133,932 | $7,818 | $58,373 |
| 162 | Flagstaff, AZ MSA | 145,052 | $8,444 | $58,214 |
| 163 | Walla Walla, WA MSA | 62,682 | $3,642 | $58,103 |
