List of EU metropolitan regions by GDP


# List of EU metropolitan regions by GDP



A metropolitan region's **gross domestic product**, or **GDP**, is one of several measures of the size of its economy. Similar to GDP, GMP is defined as the market value of all final goods and services produced within a metropolitan region in a given period of time.


## 2021 ranking of metropolitan regions in the European Union

This list shows metropolitan regions in the European Union by 2021 GDP according to Eurostat.

In some of the EU member states, there can exist differently defined areas of various sizes, which may also be called metropolitan regions. For example, the four distinct metropolitan regions of Munich, Augsburg, Ingolstadt, and Rosenheim, as defined by Eurostat, all lie within the area of the Munich Metropolitan Region.

| Rank | Metropolitan region | GDP (mil. €) | Country |
| --- | --- | --- | --- |
| 1 | Paris metropolitan region | 757,630 | France |
| 2 | Madrid metropolitan region | 237,540 | Spain |
| 3 | Dublin metropolitan region | 230,366 | Ireland |
| 4 | Milan metropolitan region | 228,436 | Italy |
| 5 | Berlin metropolitan region | 217,928 | Germany |
| 6 | Munich metropolitan region | 213,352 | Germany |
| 7 | Amsterdam metropolitan region | 201,100 | Netherlands |
| 8 | Brussels metropolitan region | 181,549 | Belgium |
| 9 | Ruhr metropolitan region | 180,467 | Germany |
| 10 | Hamburg metropolitan region | 179,525 | Germany |
| 11 | Barcelona metropolitan region | 173,722 | Spain |
| 12 | Stockholm metropolitan region | 171,269 | Sweden |
| 13 | Rome metropolitan region | 163,462 | Italy |
| 14 | Frankfurt metropolitan region | 160,841 | Germany |
| 15 | Stuttgart metropolitan region | 155,726 | Germany |
| 16 | Copenhagen metropolitan region | 155,575 | Denmark |
| 17 | Vienna metropolitan region | 140,330 | Austria |
| 18 | Marseille metropolitan region | 125,382 | France |
| 19 | Cork metropolitan region | 115,681 | Ireland |
| 20 | Cologne metropolitan region | 102,257 | Germany |
| 21 | Warsaw metropolitan region | 99,748 | Poland |
| 22 | Helsinki metropolitan region | 98,663 | Finland |
| 23 | Lyon metropolitan region | 97,306 | France |
| 24 | Düsseldorf metropolitan region | 95,646 | Germany |
| 25 | Rotterdam metropolitan region | 95,187 | Netherlands |
| 26 | Prague metropolitan region | 93,517 | Czech Republic |
| 27 | Gothenburg metropolitan region | 88,582 | Sweden |
| 28 | Lille-Dunkerque-Valenciennes metropolitan region | 85,949 | France |
| 29 | Utrecht metropolitan region | 83,278 | Netherlands |
| 30 | Athens metropolitan region | 82,615 | Greece |
| 31 | Lisbon metropolitan region | 76,603 | Portugal |
| 32 | Turin metropolitan region | 75,854 | Italy |
| 33 | Budapest metropolitan region | 73,690 | Hungary |
| 34 | Luxembourg metropolitan region | 72,361 | Luxembourg |
| 35 | Nurenberg metropolitan region | 69,562 | Germany |
| 36 | Bucharest metropolitan region | 67,623 | Romania |
| 37 | Malmö metropolitan region | 62,349 | Sweden |
| 38 | Valencia metropolitan region | 61,411 | Spain |
| 39 | Bordeaux metropolitan region | 61,279 | France |
| 40 | Naples metropolitan region | 61,059 | Italy |
| 41 | Hannover metropolitan region | 60,296 | Germany |
| 42 | Toulouse metropolitan region | 59,033 | France |
| 43 | Braunschweig-Salzgitter-Wolfsburg metropolitan region | 57,542 | Germany |
| 44 | Antwerpen metropolitan region | 56,876 | Belgium |
| 45 | Mannheim-Ludwigshafen metropolitan region | 56,100 | Germany |
| 46 | The Hague metropolitan region | 56,038 | Netherlands |
| 47 | Nantes metropolitan region | 54,834 | France |
| 48 | Bremen metropolitan region | 53,268 | Germany |
| 49 | Aarhus metropolitan region | 47,206 | Denmark |
| 50 | Eindhoven metropolitan region | 46,445 | Netherlands |
| 51 | Dresden metropolitan region | 46,369 | Germany |
| 52 | Brescia metropolitan region | 45,428 | Italy |
| 53 | Bonn metropolitan region | 45,317 | Germany |
| 54 | Grenoble metropolitan region | 44,826 | France |
| 55 | Katowice metropolitan region | 44,570 | Poland |
| 56 | Bologna metropolitan region | 43,129 | Italy |
| 57 | Rouen metropolitan region | 43,070 | France |
| 58 | Strasbourg metropolitan region | 41,422 | France |
| 59 | Linz metropolitan region | 41,413 | Austria |
| 60 | Sevilla metropolitan region | 40,658 | Spain |
| 61 | Karlsruhe metropolitan region | 39,945 | Germany |
| 62 | Rennes metropolitan region | 39,899 | France |
| 63 | Nice metropolitan region | 39,592 | France |
| 64 | Bergamo metropolitan region | 39,562 | Italy |
| 65 | Florence metropolitan region | 38,838 | Italy |
| 66 | Montpellier metropolitan region | 38,387 | France |
| 67 | Leipzig metropolitan region | 38,033 | Germany |
