List of regions of Baltic States by GDP


# List of regions of Baltic States by GDP



This article is about the **list of regions of Baltic States by GDP**.

Regions according to their gross domestic product in EUR.


## List

| Rank | Region | Country | GDP (bil. €) | GDP per capita (€) | Year |
| --- | --- | --- | --- | --- | --- |
| 1 | Vilnius County | Lithuania | 33.60 | 39,100 | 2023 |
| 2 | Riga Planning Region | Latvia | 23.69 | 27,600 | 2022 |
| 3 | Harju County | Estonia | 23.58 | 36,700 | 2023 |
| 4 | Kaunas County | Lithuania | 14.70 | 25,200 | 2023 |
| 5 | Klaipėda County | Lithuania | 7.61 | 22,500 | 2023 |
| 6 | Šiauliai County | Lithuania | 4.80 | 18,000 | 2023 |
| 7 | Tartu County | Estonia | 4.42 | 27,000 | 2023 |
| 8 | Panevėžys County | Lithuania | 3.84 | 18,200 | 2023 |
| 9 | Kurzeme Planning Region | Latvia | 3.76 | 13,600 | 2022 |
| 10 | Vidzeme Planning Region | Latvia | 3.29 | 11,900 | 2022 |
| 11 | Zemgale Planning Region | Latvia | 2.90 | 12,900 | 2022 |
| 12 | Ida-Viru County | Estonia | 2.62 | 19,700 | 2023 |
| 13 | Latgale Planning Region | Latvia | 2.40 | 9,700 | 2022 |
| 14 | Telšiai County | Lithuania | 2.29 | 17,700 | 2023 |
| 15 | Marijampolė County | Lithuania | 1.99 | 14,800 | 2023 |
| 16 | Alytus County | Lithuania | 1.92 | 14,300 | 2023 |
| 17 | Utena County | Lithuania | 1.77 | 14,200 | 2023 |
| 18 | Pärnu County | Estonia | 1.66 | 18,900 | 2023 |
| 19 | Tauragė County | Lithuania | 1.33 | 14,800 | 2023 |
| 20 | Lääne-Viru County | Estonia | 1.09 | 18,300 | 2023 |
| 21 | Viljandi County | Estonia | 0.88 | 19,300 | 2023 |
| 22 | Järva County | Estonia | 0.57 | 19,500 | 2023 |
| 23 | Võru County | Estonia | 0.57 | 16,700 | 2023 |
| 24 | Rapla County | Estonia | 0.54 | 15,900 | 2023 |
| 25 | Saare County | Estonia | 0.55 | 17,100 | 2023 |
| 26 | Jõgeva County | Estonia | 0.47 | 17,000 | 2023 |
| 27 | Valga County | Estonia | 0.41 | 14,600 | 2023 |
| 28 | Põlva County | Estonia | 0.35 | 14,600 | 2023 |
| 29 | Lääne County | Estonia | 0.33 | 16,000 | 2023 |
| 30 | Hiiu County | Estonia | 0.15 | 18,000 | 2023 |

