List of countries by future gross government debt


# List of countries by future gross government debt



This is a list of countries by estimated future grossᶜˡᵃʳⁱᶠⁱᶜᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ central government debt based on data released in October 2020 by the International Monetary Fund, with figures in percentage of national GDP.


## Projected debt estimates

**Gross government debt (sortable; in percent of GDP)**
| Country | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Afghanistan | 7.998 | 7.384 | 6.130 | 7.848 | 8.906 | 9.423 | 9.910 | 10.374 | 10.879 |
| Albania | 71.895 | 69.509 | 67.748 | 83.288 | 83.201 | 77.099 | 74.801 | 71.915 | 69.149 |
| Algeria | 16.693 | 17.964 | 18.288 | 18.109 | 17.256 | 16.888 | 16.314 | 15.940 | 15.754 |
| Angola | 69.265 | 89.000 | 109.210 | 120.290 | 107.526 | 93.772 | 83.692 | 74.324 | 67.237 |
| Antigua and Barbuda | 92.322 | 90.718 | 84.468 | 113.687 | 112.659 | 102.007 | 92.089 | 86.103 | 80.340 |
| Argentina | 57.028 | 86.431 | 90.382 | 96.693 | n/a | n/a | n/a | n/a | n/a |
| Armenia | 53.704 | 51.233 | 49.945 | 60.710 | 61.751 | 60.560 | 59.199 | 57.574 | 56.061 |
| *Aruba* | 86.741 | 83.412 | 81.286 | 127.142 | 120.295 | 117.528 | 117.821 | 117.283 | 115.729 |
| Australia | 41.076 | 41.664 | 46.277 | 60.411 | 70.198 | 74.392 | 74.972 | 73.603 | 70.902 |
| Austria | 78.405 | 73.964 | 70.347 | 84.757 | 84.281 | 82.442 | 81.115 | 79.313 | 76.966 |
| Azerbaijan | 22.509 | 18.685 | 17.703 | 20.113 | 20.036 | 21.422 | 23.642 | 23.576 | 26.211 |
| Baha The Bahamas | 53.014 | 60.955 | 58.841 | 68.709 | 81.959 | 80.183 | 78.496 | 76.383 | 74.872 |
| Bahrain | 88.138 | 95.018 | 103.363 | 128.282 | 130.581 | 132.871 | 134.797 | 136.262 | 137.132 |
| Bangladesh | 33.376 | 34.561 | 35.819 | 39.619 | 41.915 | 42.290 | 42.386 | 41.862 | 41.311 |
