List of companies that applied sanctions during the Russo-Ukrainian War


# List of companies that applied sanctions during the Russo-Ukrainian War



The first round of sanctions was applied in March 2014, after the Russian annexation of Crimea and its support for the war in Donbas. The second active round of applied sanctions started in February 2022, after the full-scale Russian invasion of Ukraine.


## List

| Company | Industry | Origin | Suspended services | Start date |
| --- | --- | --- | --- | --- |
| 3M | Conglomerate | United States | all operations in Russia | 2022 |
| Accenture | Consulting | Ireland | closing business in Russia | 2022 |
| Activision Blizzard | Video game | United States | all sales in Russia | 2022 |
| Advanced Micro Devices | Semiconductor company | United States | Chip sales to Russia | 2022 |
| Adidas | Clothing | Germany | partnership with Russian Football Union | 2 March 2022 |
| AerCap | Aircraft leasing | Ireland | cease lending to Russians | 2022 |
| Airbnb | Hospitality | United States | All operations | 2022 |
| Airbus | Aerospace manufacturer | France | Stopped providing support services to Russian Airlines Continues to purchase titanium from Russian Federation | 2 March 2022 |
| Alaska Airlines | Airline | United States | suspend Russian partnerships | 2022 |
| Alcoa | Metals | United States | suspend all business with Russia | 2022 |
| Allianz | Financial services | Germany | curtail Russian access to capital markets | 2022 |
| Amadeus IT Group | Software | Spain | Distribution service with Russia's Aeroflot and new planned commercial projects in Russia | 2022 |
| Amazon | Internet | United States | * Amazon Web Services * Amazon Prime Video | 2 March 2022 |
| American Airlines | Airlines | United States | Severed all ties with Aeroflot and S7 Airlines and suspended interline agreements. | 2 March 2022 |
| American Express | payment card services | United States | Suspended all operations in Russia and Belarus | 2022 |
| Amway | Direct selling | United States | 2022 |
| Anheuser-Busch | alcoholic beverages | Belgium | halt all shipments to Russia | 2022 |
| ApiX-Drive | Technology | Estonia | Complete cessation of work with users from Russia | 2022 |
| Apple | Computer hardware and software | United States | Halt all product sales * App Store, * Mac App Store, * Apple Developer, * Apple Pay | 17 January 2015; 1 March 2022 (Apple Pay, retail) |
| Asda | Retail | United Kingdom | remove products from Russia | 2022 |
| ASOS | Online retail | United Kingdom | Retail sales stopped | 2 March 2015 |
| Assicurazioni Generali | Insurance | Italy | exit Russia completely | 2022 |
| ASUS | Computers | Taiwan | Halt Russia product shipments | 14 March 2022 |
| Aston Martin | Luxury cars | United Kingdom | Retail | 2 March 2022 |
| Atlas Copco | Industrial equipment | Sweden | halt all shipments to Russia | 2022 |
| Autodesk | Software | United States | Business in Russia | 2022 |
| Avast | Software | Czechia | Stopped sales to Russia and suspended all activities | 2022 |
| Avid Technology | Technology | United States | all sales and support for all customers, users and resellers in Russia and Belarus | 2022 |
| Bain | Management consulting | United States | suspend consulting for all Russian government entities | 2022 |
| Baker McKenzie | Law firm | United States | suspend services for all Kremlin entities | 2022 |
| Balenciaga | Luxury fashion | France | Russian revenue streams | 2022 |
| BASF | Chemical industry | Germany | suspend new Russian relationships | 2022 |
| BBC | Broadcasting | United Kingdom | suspend all operations in Russia | 2022 |
| Bentley | Luxury cars | United Kingdom | Exports to Russia | 2022 |
| BlackRock | Investment management | United States | curtail Russian access to capital markets | 2022 |
| Bloomberg | Technology, Financial technology and mass media | United States | pull back journalists from Russia | 2022 |
| BMW | Luxury vehicles and motorcycles | Germany | Exporting cars to Russia. | 2022 |
| BNP Paribas | Financial services | France | curtail Russian access to capital markets | 2022 |
| Boeing | Designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles | United States | Suspended parts and maintenance support for Russian airlines as well as its operations in Moscow Suspended purchases of titanium from Russia | 2022 |
| Bokaldo Group | Financial services | United Kingdom | Stopped accepting Russian capital. | 2022 |
| Bolt | Vehicle for hire, micromobility, car-sharing, and food delivery services | Estonia | Ties with Russian companies | 2022 |
| Bombardier | Aerospace manufacturer | Canada | restrict new Russian business | 2022 |
| BooHoo Group | Online retail | United Kingdom | halt all shipments to Russia | 2022 |
| Booking.com | Travel | Netherlands | operations in Russia | 2022 |
| BCG | Management consulting | United States | suspend all consulting in Russia | 2022 |
| BP | Oil and gas | United Kingdom | Stake in Russian oil giant Rosneft. | 2022 |
| Budějovický Budvar | Brewer | Czechia | Stopped taking new orders from Russia | 2022 |
| Bridgestone | Tyre manufacturer | Japan | Suspended manufacturing and investment in Russia. | 14 March 2022 |
| Burberry | Fashion retail | United Kingdom | halt all shipments to Russia | 2022 |
| Cadillac | Automobile manufacture | United States | Business to Russia | 2022 |
| Canada Goose | Clothing | Canada | halt all shipments to Russia | 2022 |
| Cannes Festival | Film Festival | France | Ban Russian Delegations | 2022 |
| Cargill | Grain exporter | United States | Cease exporting grain from Russia. | 1 July 2023 |
| Carlsberg | Brewer | Denmark | Exports, New Investments Into Russia | 4 March 2022 |
| Carnival | Hospitality, Tourism | United States | drop Russia from itineraries | 2022 |
| Cartier | Luxury goods | France | operations in Russia | 2022 |
| Caterpillar | Engineering equipment | USA | Russian operation sold. | 2023 |
| Chanel | Luxury goods | France | sales in Russia | 2022 |
| Chevrolet | Automobile | United States | Vehicle exports to Russia | 2022 |
| Cisco | Technology | United States | All business operations | 2022 |
| CMA CGM | Container shipping | France | halt all shipments to Russia | 2022 |
| The Coca-Cola Company | Beverage corporation | United States | Sales in Russia | 2022 |
| Cogent Communications | Telecommunications | United States | cut all internet to Russia | 2022 |
| Continental AG | Tyre manufacturer | Germany | Sold Russian factory. | 1 May 2023 |
| Credit Suisse | Financial services | Switzerland | curtail Russian access to capital markets | 2022 |
| Coursera | Online course provider | United States | Ceased all content for Russian university and industry partners including courses, paid course experiences and collecting payment from any learners or institutions in Russia, | 2022 |
| Crunchyroll (Funimation) | Anime, manga, Japanese media | United States Japan | * Jointly owned by Japanese conglomerate Sony, through its subsidiaries Sony Pictures Television and Sony Music Entertainment Japan via Aniplex. * Services from Wakanim and Crunchyroll EMEA are suspended from Russia. All new anime releases halted in the country. | 10 March 2022 |
| Daimler Truck | Commercial vehicle manufacturer | Germany | Exports to Russia and production in Russia | 2022 |
| Dassault Aviation | Aircraft manufacturer | France | Falcon Deliveries | 2022 |
| David Chipperfield Architects | Architecture | Worldwide | working on their projects in Russia | 2022 |
| DB Schenker | Logistics and freight transport | Germany | halt all shipments to Russia | 2022 |
| Deezer | Music streaming | France | Subscription in Russia | 2022 |
| Dell | Computer hardware | United States | Suspended product sales in Russia | 31 August 2022 |
| Deloitte | Professional services | United Kingdom | separating Russia operations | 2022 |
| Delta Air Lines | Airline | United States | suspend agreement with Aeroflot | 2022 |
