List of companies of Poland


# List of companies of Poland



Poland is a country located in Central Europe, situated between the Baltic Sea in the north and two mountain ranges (the Sudetes and Carpathian Mountains) in the south. Since the fall of communism many major companies have been established in Poland. The following list includes both fully Polish companies and foreign owned firms with independent Polish operations, such as Fiat Poland. Most of Poland's economy since communism has been developed by small and medium businesses, but large corporations still control aspects of heavy industry, mining, and chemical refining.

For further information on the types of business entities in this country and their abbreviations, see "Business entities in Poland".


## Notable firms

This list includes notable companies with primary headquarters located in the country. The industry and sector follow the Industry Classification Benchmark taxonomy. Organizations which have ceased operations are included and noted as defunct.

Notable companies
Status: P=Private, S=State; A=Active, D=Defunct
| Name | Industry | Sector | Headquarters | Founded | Notes | Status | |
| --- | --- | --- | --- | --- | --- | --- | --- |
| | |
| 11 bit studios | Technology | Software | Warsaw | 2010 | Video games | P | A |
| 4F | Consumer goods | Textile | Wieliczka | 2007 | Sportswear and casual wear products | P | A |
| Adamów Coal Mine | Basic materials | Coal | Turek | 1979 | Mining | P | A |
| Agora | Consumer goods and services | Mass media | Warsaw | 1989 | Newspapers, advertising, cinemas, radio | P | A |
| Allegro | Consumer services | E-commerce | Poznań | 1999 | Online auction hosting | P | A |
| Alior Bank | Financials | Banks | Warsaw | 2008 | | P | A |
| Amica | Consumer goods | Durable household products | Wronki | 1945 | Household appliances | P | A |
| Asseco | Technology | Software | Rzeszów | 1991 | Financial software | P | A |
| Bank Millennium | Financials | Banks | Warsaw | 1989 | Universal bank | P | A |
| Bank Pekao | Financials | Banks | Warsaw | 1929 | Universal bank | S | A |
| Belvedere Vodka | Consumer goods | Brewers | Żyrardów | 1993 | Brewery, part of LVMH (France) | P | A |
| Bełchatów Coal Mine | Basic materials | Coal | Bełchatów | 1955 | Coal mine | P | A |
| Biedronka | Consumer services | Food retailers & wholesalers | Kostrzyn | 1995 | Supermarkets | P | A |
| Black Red White | Consumer goods | Household goods | Biłgoraj | 1991 | Furniture | P | A |
| Bochnia Salt Mine | Basic materials | General mining | Bochnia | 1248 | Salt mine | P | A |
| Bogdanka Coal Mine | Basic materials | Coal | Lublin Voivodeship | 1975 | Coal mine | P | A |
| Boryszew | Automotive industry | Automotive trade | Boryszew | 1911 | Components for the car industry, chemical materials | P | A |
| Brainly | Technology | Software | Kraków | 2009 | Learning software | P | A |
| Browar Łomża | Consumer goods | Brewers | Łomża | 1968 | Brewery | P | A |
| Calatrava Capital S.A. | Financials | Joint-stock holding company | Warsaw | 2000 | Supervises and manages subsidiaries | P | A |
| Carlsberg Polska | Consumer goods | Brewers | Warsaw | 2004 | Brewery, part of Carlsberg Group (Denmark) | P | A |
| CD Projekt | Technology | Software | Warsaw | 1994 | Video games | P | A |
| CI Games | Technology | Software | Warsaw | 2002 | Video games | P | A |
| CIECH | Chemical industry | Specialty chemicals | Łódź | 1945 | High-end chemical products | P | A |
| Comarch | Technology | Software | Kraków | 1993 | Software house | P | A |
| Dino | Consumer services | Food retailers & wholesalers | Krotoszyn | 1999 | Supermarkets | P | A |
| E. Wedel | Consumer products | Confectionary | Warsaw | 1851 | Chocolates, cakes and snacks, part of Lotte Group (Japan) | P | A |
