List of companies of Peru


# List of companies of Peru



Peru is a country in western South America. Services account for 53% of Peruvian gross domestic product, followed by manufacturing (22.3%), extractive industries (15%), and taxes (9.7%). Recent economic growth has been fueled by macroeconomic stability, improved terms of trade, and rising investment and consumption. Peru's main exports are copper, gold, zinc, textiles, and fish meal; its major trade partners are the United States, China, Brazil, and Chile.

For further information on the types of business entities in this country and their abbreviations, see "Business entities in Peru".


## Notable firms

This list includes notable companies with primary headquarters located in the country. The industry and sector follow the Industry Classification Benchmark taxonomy. Organizations which have ceased operations are included and noted as defunct.

Notable companies
Status: P=Private, S=State; A=Active, D=Defunct
| Name | Industry | Sector | Headquarters | Founded | Notes | Status | |
| --- | --- | --- | --- | --- | --- | --- | --- |
| | |
| Aero Cóndor | Consumer services | Airlines | Lima | 1975 | Airline, defunct 2008 | P | D |
| Aeropuertos del Perú | Industrials | Transportation services | Lima | 2006 | Airports | P | A |
| Agroindustrial Casa Grande | Consumer goods | Farming & fishing | Chocope | 1996 | Agriculture | P | A |
| Agroindustrial Pomalca | Consumer goods | Farming & fishing | Chiclayo | 1996 | Agriculture | P | A |
| Air Perú | Consumer services | Airlines | Lima | 2006 | Airline, defunct 2009 | P | D |
| Ajegroup | Consumer goods | Soft drinks | Lima | 1988 | Beverages | P | A |
| Alicorp | Consumer goods | Personal products | Lima | 1956 | Food, soaps, laundry | P | A |
| América Televisión | Consumer services | Broadcasting & entertainment | Lima | 1958 | Television network | P | A |
| Andahuasi | Consumer goods | Farming & fishing | Lima | 1923 | Agriculture | P | A |
| Avianca Perú | Consumer services | Airlines | Lima | 1999 | Airline, defunct 2020 | P | D |
| AviaSelva | Consumer services | Airlines | Iquitos | 2007 | Airline, defunct 2008 | P | D |
| Backus and Johnston Brewery | Consumer goods | Brewers | Lima | 1879 | Brewery | P | A |
| Banco de Crédito del Perú | Financials | Banks | Lima | 1889 | Bank | P | A |
| Banco de la Nación | Financials | Banks | Lima | 1966 | Bank | S | A |
| Bembos | Consumer services | Restaurants & bars | Lima | 1988 | Fast food chain | P | A |
| Canal N | Consumer services | Broadcasting & entertainment | Lima | 1999 | News channel | P | A |
| Cementos Pacasmayo | Industrials | Building materials & fixtures | Lima | 1949 | Cement | P | A |
| Cerro Verde | Basic materials | General mining | Arequipa | 1970 | Mining | P | A |
| Cielos Airlines | Industrials | Industrial transportation | Callao | 1997 | Cargo airline, defunct 2006 | P | D |
| Cielos del Oriente | Consumer services | Airlines | Tarapoto | ? | Charter airline | P | D |
| Compañía Minera Atacocha | Basic materials | General mining | Lima | 1936 | Mining | P | A |
| Compañía Minera Milpo | Basic materials | General mining | Lima | 1949 | Mining | P | A |
| Compañía Nacional de Chocolates de Perú S.A. | Consumer goods | Food products | Lima | 2007 | Chocolates | P | A |
| Corporación Lindley S.A. | Consumer goods | Soft drinks | Lima | 1910 | Beverages | P | A |
| Don Jorge | Consumer goods | Soft drinks | Lima | 1947 | Beverages | P | A |
| Dunkelvolk | Consumer goods | Recreational products | Lima | 1996 | Sporting goods | P | A |
| Edegel | Utilities | Conventional electricity | Lima | 1906 | Power generation | P | A |
