List of largest companies of South Korea


# List of largest companies of South Korea



This article lists the largest companies in South Korea in terms of their revenue, net profit, total assets and market value according to American business magazines *Fortune* and *Forbes*.


## 2023 *Fortune* list

This list displays all 18 Korean companies in the Fortune Global 500, ranks the world's companies by revenue. The figures below are given in US dollars and are for the fiscal year 2022.

| National rank | Global rank | Name | Industry | Headquarters | Revenue (US$ billions) |
| --- | --- | --- | --- | --- | --- |
| 1 | 25 | Samsung Electronics | Technology | Suwon, Gyeongggi | 234.13 |
| 2 | 85 | Hyundai Motor Company | Automotive | Seocho, Seoul | 110.4 |
| 3 | 92 | SK | Holdings | Jongno, Seoul | 105.96 |
| 4 | 196 | KIA | Automotive | Seocho, Seoul | 67.06 |
| 5 | 201 | POSCO | Steel | Pohang, Gyeongbuk | 65.85 |
| 6 | 204 | LG Electronics | Technology | Yeouido, Seoul | 64.95 |
| 7 | 258 | Korea Electric Power Corporation | Utilities | Naju, Jeonnam | 54.65 |
| 8 | 296 | Hanwha | Holdings | Jung, Seoul | 48.25 |
| 9 | 301 | HD Hyundai | Holdings | Seongnam, Gyeonggi | 47.14 |
| 10 | 322 | GS Caltex | Petroleum | Gangnam, Seoul | 45.34 |
| 11 | 339 | KB Financial | Finance | Yeouido, Seoul | 43.62 |
| 12 | 371 | LG Chem | Chemicals | Yeouido, Seoul | 40.24 |
| 13 | 372 | Hyundai Mobis | Automotive parts | Gangnam, Seoul | 40.21 |
| 14 | 374 | Korea Gas | Natural gas | Dong, Daegu | 40.07 |
| 15 | 437 | SK Hynix | Technology | Icheon, Gyeongggi | 34.57 |
| 16 | 457 | Samsung C&T | Construction Sogo shosha | Gangdong Jung District, Seoul | 33.44 |
| 17 | 481 | CJ Corporation | Holdings | Jung, Seoul | 31.7 |
| 18 | 496 | Samsung Life Insurance | Life insurance | Seocho, Seoul | 31.24 |


## 2023 *Forbes* list

This list is based on the Forbes Global 2000, which ranks the world's 2,000 largest publicly traded companies. The *Forbes* list takes into account a multitude of factors, including the revenue, net profit, total assets and market value of each company; each factor is given a weighted rank in terms of importance when considering the overall ranking. The table below also lists the headquarters location and industry sector of each company. The figures are in billions of US dollars and are for the year 2019. The 52 highest ranked companies from South Korea are listed.

| Rank | | Name | Industry | Headquarters | Sales | Profit | Assets | Market Value |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| National | Global | (US$ billions) | | | |
| 1 | 14 | Samsung Electronics | Technology | Suwon, Gyeongggi | 220.07 | 34.49 | 348.81 | 334.31 |
| 2 | 104 | Hyundai Motor | Automotive | Seocho, Seoul | 114.55 | 7.02 | 203.07 | 38.94 |
| 3 | 256 | KIA | Automotive | Seocho, Seoul | 70.17 | 4.96 | 58.29 | 26.04 |
| 4 | 278 | KB Financial | Finance | Yeouido, Seoul | 44.38 | 3.31 | 557.09 | 14.15 |
| 5 | 279 | SK Hynix | Technology | Icheon, Gyeongggi | 34.53 | 1.73 | 82.14 | 46.11 |
| 6 | 299 | POSCO | Steel | Pohang, Gyeongbuk | 63.21 | 2.43 | 78.82 | 21.73 |
| 7 | 300 | Shinhan Financial Group | Finance | Jung, Seoul | 33.38 | 3.46 | 534.51 | 13.85 |
| 8 | 339 | LG Chem | Chemicals | Yeouido, Seoul | 41.81 | 1.39 | 53.76 | 43.26 |
| 9 | 420 | Hana Financial | Finance | Jung, Seoul | 29.41 | 2.8 | 449.88 | 9.17 |
| 10 | 464 | Hyundai Mobis | Automotive parts | Gangnam, Seoul | 40.17 | 1.92 | 43.82 | 15.14 |
| 11 | 513 | Samsung C&T | Construction Sogo shosha | Gangdong Jung District, Seoul | 32.8 | 1.71 | 46.64 | 13.6 |
| 12 | 562 | Woori Financial | Finance | Jung, Seoul | 20.47 | 2.42 | 379.97 | 6.41 |
| 13 | 566 | Samsung Life Insurance | Life insurance | Seocho, Seoul | 23.15 | 1.23 | 249.47 | 9.07 |
| 14 | 590 | Samsung SDI | Battery | Yongin, Gyeonggi | 16.36 | 1.57 | 23.93 | 34.58 |
| 15 | 620 | SK | Holdings | Jongno, Seoul | 104.64 | 0.85 | 153.82 | 6.73 |
| 16 | 628 | Industrial Bank of Korea | Banking | Yeouido, Seoul | 15.9 | 2.17 | 341.62 | 6.04 |
| 17 | 631 | Hanhwa | Holdings | Jung, Seoul | 48.2 | 1.02 | 167 | 1.52 |
| 18 | 703 | SK Innovation | Petroleum | Jongno, Seoul | 61.8 | 0.55 | 55.25 | 11.57 |
| 19 | 718 | Korea Gas | Natural gas | Dong, Daegu | 40.02 | 1.16 | 49.37 | 1.75 |
