Companies listed on the New York Stock Exchange (E)


# Companies listed on the New York Stock Exchange (E)



## Companies listed on the New York Stock Exchange


## E

| Stock name | Symbol | Country of origin |
| --- | --- | --- |
| E-Commerce China DangDang Inc. | DANG | China |
| E-House (China) Holdings Limited | EJ | China |
| E. I. du Pont de Nemours and Company (DuPont) | DD | US |
| E. I. du Pont de Nemours and Company (DuPont) | DD.PRA | US |
| E. I. du Pont de Nemours and Company (DuPont) | DD.PRB | US |
| The E. W. Scripps Company | SSP | US |
| Eagle Materials Inc. | EXP | US |
| Eastgroup Properties Inc. | EGP | US |
| Eastman Chemical Co. | EMN | US |
| Eastman Kodak Company | KODK | US |
| Eastman Kodak Company | KODK.WS | US |
| Eastman Kodak Company | KODK.WS.A | US |
| Eaton Corporation plc | ETN | US |
| ECA Marcellus Trust I | ECT | US |
| Eclipse Resources Corporation | ECR | US |
| Ecolab Inc. | ECL | US |
| Ecopetrol S.A. | EC | Colombia |
| Edison International | EIX | US |
| Education Realty Trust, Inc. | EDR | US |
| Edwards Lifesciences Corp | EW | US |
| El Paso Electric Co. | EE | US |
| El Paso Energy Capital Trust I | EP.PRC | US |
| El Paso Pipeline Partners, L.P. | EPB | US |
| Eldorado Gold Corporation | EGO | Canada |
| Eli Lilly and Company | LLY | US |
| Ellie Mae, Inc. | ELLI | US |
| Ellington Financial LLC | EFC | US |
| Ellington Residential Mortgage REIT | EARN | US |
| Embotelladora Andina S.A. | AKO.A | Chile |
| Embotelladora Andina S.A. | AKO.B | Chile |
| Embraer S.A. | ERJ | Brazil |
| EMCOR Group, Inc. | EME | US |
| Emerge Energy Services LP | EMES | US |
| Emergent BioSolutions Inc. | EBS | US |
| Emeritus Corporation | ESC | US |
| Emerson Electric Co. | EMR | US |
| Empire District Electric Co. | EDE | US |
| Empire State Realty Trust, Inc. | ESRT | US |
| Employers Holdings, Inc. | EIG | US |
| Empresa Distribuidora y Comercializadora Norte S.A. | EDN | Argentina |
| Empresas ICA S.A. DE C.V. | ICA | Mexico |
| Emulex Corporation | ELX | US |
| Enable Midstream Partners, LP | ENBL | US |
| Enbridge, Inc. | ENB | Canada |
| Enbridge Energy Management, L.L.C. | EEQ | US |
| Enbridge Energy Partners, L.P. | EEP | US |
| Endeavour International Corporation | END | US |
| Endeavour Silver Corp. | EXK | Canada |
| Endesa Chile | EOC | Chile |
| Endurance Specialty Holdings Ltd. | ENH | Bermuda |
| Endurance Specialty Holdings Ltd. | ENH.PRA | Bermuda |
| Endurance Specialty Holdings Ltd. | ENH.PRB | Bermuda |
| Enduro Royalty Trust | NDRO | US |
| Energizer Holdings, Inc. | ENR | US |
| Energy Transfer LP | ET | US |
| Enerplus Corporation | ERF | Canada |
| Enersis S.A. | ENI | Chile |
| EnerSys | ENS | US |
| ENI S.p.A. | E | Italy |
| EnLink Midstream, LLC | ENLC | US |
| EnLink Midstream Partners, LP | ENLK | US |
| Ennis, Inc. | EBF | US |
| EnPro Industries, Inc. | NPO | US |
| Entergy Corporation | ETR | US |
| Entergy Arkansas, Inc. | EAA | US |
| Entergy Arkansas, Inc. | EAB | US |
| Entergy Arkansas, Inc. | EAE | US |
| Entergy Louisiana, LLC | ELA | US |
| Entergy Louisiana, LLC | ELB | US |
| Entergy Louisiana, LLC | ELU | US |
| Entergy Mississippi, Inc. | EFM | US |
| Entergy Mississippi, Inc. | EMQ | US |
| Entergy Mississippi, Inc. | EMZ | US |
| Entergy New Orleans, Inc. | ENJ | US |
| Entergy Texas, Inc. | EZT | US |
| Enterprise Products Partners L.P. | EPD | US |
| Entravision Communications Corporation | EVC | US |
| Envestnet, Inc. | ENV | US |
| Envision Healthcare Holdings, Inc. | EVHC | US |
| Enzo Biochem, Inc. | ENZ | US |
| EOG Resources, Inc. | EOG | US |
| EP Energy Corporation | EPE | US |
| EPAM Systems, Inc. | EPAM | US |
| EPR Properties | EPR | US |
| EPR Properties | EPR.PRC | US |
| EPR Properties | EPR.PRE | US |
| EPR Properties | EPR.PRF | US |
| EQT Corporation | EQT | US |
| EQT Midstream Partners, LP | EQM | US |
| Equifax Inc. | EFX | US |
| Equity Lifestyle Properties, Inc. | ELS | US |
| Equity Lifestyle Properties, Inc. | ELS.PRC | US |
| Equity Residential | EQR | US |
| Equus Total Return, Inc. | EQS | US |
| Era Group Inc. | ERA | US |
| Eros International Plc | EROS | US |
| Esco Technologies Inc. | ESE | US |
| Essent Group Ltd. | ESNT | US |
| Essex Property Trust, Inc. | ESS | US |
| Essex Property Trust, Inc. | ESS.PRH | US |
| Estee Lauder Companies Inc. | EL | US |
| Esterline Technologies Corporation | ESL | US |
| Ethan Allen Interiors Inc. | ETH | US |
| The European Equity Fund, Inc. | EEA | US |
| Everbank Financial Corp. | EVER | US |
| EverBank Financial Corp. | EVER.PRA | US |
| Evercore Partners Inc. | EVR | US |
| Everest Re Group Ltd. | RE | US |
| Evertec, Inc. | EVTC | US |
| Everyday Health, Inc. | EVDY | US |
| Evogene Ltd. | EVGN | US |
| ExamWorks Group, Inc. | EXAM | US |
| Exar Corporation | EXAR | US |
| Excel Trust, Inc. | EXL | US |
| Excel Trust, Inc. | EXL.PRB | US |
| EXCO Resources, Inc. | XCO | US |
| Exelis Inc. | XLS | US |
| Exelon Corporation | EXC | US |
| Exelon Corporation | EXCU | US |
| Express, Inc. | EXPR | US |
| Extended Stay America, Inc. | STAY | US |
| Exterran Holdings, Inc. | EXH | US |
| Extra Space Storage, Inc. | EXR | US |
| Exxon Mobil Corporation | XOM | US |

