List of presidents of the Central Bank of Argentina


# List of presidents of the Central Bank of Argentina



This is a list of **presidents of the Central Bank of Argentina**. The presidents and ministers of economy are listed for context, but the Central Bank has usually been an autarkic institution, except during military governments. As such, many presidents stay in the Central Bank across different presidencies, even of different political parties.


## List of presidents

| Name (tenure) | President of Argentina during tenure | Minister of Economy of Argentina during tenure |
| --- | --- | --- |
| Ernesto Bosch (1935–1945) | Hipólito Yrigoyen, José Félix Uriburu, Agustín Pedro Justo, Roberto María Ortiz, Ramón Castillo, Edelmiro Farrell | Enrique Pérez Colman (Yrigoyen), Enrique Uriburu, E. Pérez Colman (Uriburu), Alberto Huergo, Federico Pinedo, Roberto Ortiz, Carlos Acevedo (Justo), Pedro Groppo, Federico Pinedo, Carlos Acevedo (Ortiz), Carlos Acevedo, César Ameghino (Castillo, Farrell) |
| Vicente Casares (1945) | Edelmiro Farrell | Armando Antilles, Amaro Avalos |
| Emilio Cárdenas (1945–1946) | Edelmiro Farrell | Amaro Avalos |
| Miguel Miranda (1946–1947) | Juan Perón | Ramón Cereijo |
| Domingo Maroglio (1947–1949) | Juan Perón | Ramón Cereijo |
| Alfredo Gómez Morales (1949–1952) | Juan Perón | Ramón Cereijo |
| Miguel Revestido (1952–1955) | Juan Perón | Ramón Cereijo, Alfredo Gómez Morales |
| Eugenio Folcini (1955) | Eduardo Lonardi | Eugenio Folcini |
| Julio Alizon García (1955–1956) | Eduardo Lonardi | Julio Alizon García |
| Eugenio Blanco (1956) | Pedro Eugenio Aramburu | Eugenio Blanco |
| Eduardo Laurencena (1956–1958) | Pedro Eugenio Aramburu, Arturo Frondizi | Roberto Verrier, Adalbert Krieger Vasena |
| José Mazar Barnet (1959) | Arturo Frondizi | Emilio Del Carril |
| Eusebio Campos (1959–1960) | Arturo Frondizi | Álvaro Alsogaray |
| Eustaquio Méndez Delfino (1960–1962) | Arturo Frondizi, José María Guido | Roberto Alemann (Frondizi), Carlos Coll Benegas, Jorge Wehbe, Federico Pinedo (Guido) |
| Ricardo Pasman (1962) | José María Guido | Álvaro Alsogaray |
| Luis Otero Monsegur (1962–1963) | José María Guido | Eustaquio Méndez Delfino, José Alfredo Martínez de Hoz |
| Félix Elizalde (1963–1966) | Arturo Illia | Eugenio Blanco, Juan Carlos Pugliese |
