Companies listed on the New York Stock Exchange (Z)


# Companies listed on the New York Stock Exchange (Z)



## Companies listed on the New York Stock Exchange


## Z

| Stock name | Symbol | Country of origin |
| --- | --- | --- |
| ZEEKR Intelligent Technology Holding Limited | ZK | China |
| Zepp Health Corporation | ZEPP | China |
| Zeta Global Holdings Corp. | ZETA | United States |
| Zevia PBC | ZVIA | United States |
| Zhihu Inc. | ZH | China |
| ZIM Integrated Shipping Services Ltd. | ZIM | Israel |
| Zimmer Biomet Holdings, Inc. | ZBH | United States |
| ZipRecruiter, Inc. | ZIP | United States |
| ZKH Group Limited | ZKH | China |
| Zoetis Inc. | ZTS | United States |
| ZTO Express (Cayman) Inc. | ZTO | China |
| Zuora, Inc. | ZUO | United States |
| Zurn Elkay Water Solutions Corporation | ZWS | United States |

