Companies listed on the New York Stock Exchange (H)


# Companies listed on the New York Stock Exchange (H)



## Companies listed on the New York Stock Exchange


## H

| Stock name | Symbol | Country of origin |
| --- | --- | --- |
| H & Q Life Sciences Investors | HQL | US |
| H&Q Healthcare Investors | HQH | US |
| H&R Block Inc. | HRB | US |
| Haemonetics Corp | HAE | US |
| Hagerty, Inc. | HGTY | US |
| Halcón Resources Corporation | HK | US |
| Halliburton Company | HAL | US |
| Hanesbrands Inc. | HBI | US |
| Hanger, Inc. | HGR | US |
| Hannon Armstrong Sustainable Infrastructure Capital Inc | HASI | US |
| The Hanover Insurance Group | THG | US |
| The Hanover Insurance Group | THGA | US |
| Harbinger Group Inc. | HRG | US |
| Harley-Davidson, Inc. | HOG | US |
| Harman International Ind. Inc. | HAR | US |
| Harmony Gold Mining Company Limited | HMY | South Africa |
| Harris Corporation | HRS | US |
| Harsco Corporation | HSC | US |
| Harte Hanks Inc. | HHS | US |
| Hartford Financial Services Group Inc. | HIG | US |
| Hartford Financial Services Group Inc. | HGH | US |
| Hartford Financial Services Group Inc. | HIG.WS | US |
| Harvest Natural Resources, Inc. | HNR | US |
| Hatteras Financial Corp. | HTS | US |
| Hatteras Financial Corp. | HTS.PRA | US |
| Haverty Furniture Companies Inc. | HVT | US |
| Haverty Furniture Companies Inc. | HVT.A | US |
| Hawaiian Electric Industries Inc. | HE | US |
| H.B. Fuller Company | FUL | US |
| HCA Holdings, Inc. | HCA | US |
| HCC Insurance Holdings, Inc. | HCC | US |
| HCI Group, Inc. | HCI | US |
| HCI Group, Inc. | HCJ | US |
| HCP, Inc. | HCP | US |
| HDFC Bank Limited | HDB | India |
| Headwaters Incorporated | HW | US |
| Health Care REIT, Inc. | HCN | US |
| Health Care REIT, Inc. | HCN.PRI | US |
| Health Care REIT, Inc. | HCN.PRJ | US |
| Health Net, Inc. | HNT | US |
| Healthcare Realty Trust Inc. | HR | US |
| Healthcare Trust of America, Inc. | HTA | US |
| HealthSouth Corporation | HLS | US |
| Heartland Payment Systems, Inc. | HPY | US |
| Hecla Mining Co. | HL | US |
| Hecla Mining Co. | HL.PRB | US |
| HECO Capital Trust III | HE.PRU | US |
| HEICO Corporation | HEI | US |
| HEICO Corporation | HEI.A | US |
| Helios Advantage Income Fund, Inc. | HAV | US |
| Helios High Income Fund, Inc. | HIH | US |
| Helios Multi-Sector High Income Fund, Inc. | HMH | US |
| Helios Strategic Income Fund, Inc. | HSA | US |
| Helix Energy Solutions Group, Inc. | HLX | US |
| Helmerich & Payne Inc. | HP | US |
| Herbalife Ltd. | HLF | Cayman Islands |
| Hercules Technology Growth Capital, Inc. | HTGC | US |
| Hercules Technology Growth Capital, Inc. | HTGX | US |
| Hercules Technology Growth Capital, Inc. | HTGY | US |
| Hercules Technology Growth Capital, Inc. | HTGZ | US |
| Heritage Insurance Holdings, LLC | HRTG | US |
| Hersha Hospitality Trust | HT | US |
| Hersha Hospitality Trust | HT.PRB | US |
| Hersha Hospitality Trust | HT.PRC | US |
| The Hershey Company | HSY | US |
| Hertz Global Holdings, Inc. | HTZ | US |
| Hess Corporation | HES | US |
| Hewlett Packard Co. | HPQ | US |
| Hexcel Corporation | HXL | US |
| Hi-Crush Partners LP | HCLP | US |
| High Income Opportunities Fund | IVH | US |
| Higher One Holdings, Inc. | ONE | US |
| Highwoods Properties Inc. | HIW | US |
| Hill International, Inc. | HIL | US |
| Hillrom | HRC | US |
| Hillenbrand, Inc. | HI | US |
| Hillshire Brands Company | HSH | US |
| Hilltop Holdings Inc. | HTH | US |
| Hilton Worldwide Holdings Inc. | HLT | US |
| HNI Corporation | HNI | US |
| Holly Energy Partners, L.P. | HEP | US |
| HollyFrontier Corporation | HFC | US |
| Home Depot, Inc. | HD | US |
| Honda Motor Co., Ltd. | HMC | Japan |
| Honeywell International, Inc. | HON | US |
| Horace Mann Educators Corporation | HMN | US |
| Horizon Technology Finance Corporation | HTF | US |
| Hormel Foods Corporation | HRL | US |
| Hornbeck Offshore Services, Inc. | HOS | US |
| Hospira, Inc. | HSP | US |
| Hospitality Properties Trust | HPT | US |
| Hospitality Properties Trust | HPT.PRD | US |
| Host Hotels & Resorts, Inc. | HST | US |
| Hovnanian Enterprises, Inc. | HOV | US |
| The Howard Hughes Corporation | HHC | US |
| HSBC Finance Corporation | HSFC.PRB | US |
| HSBC Holdings plc | HSBC | United Kingdom |
| HSBC Holdings plc | HSBC.PRA | United Kingdom |
| HSBC Holdings plc | HSEA | United Kingdom |
| HSBC Holdings plc | HSEB | United Kingdom |
| HSBC USA, Inc. | HUSI.PRD | US |
| HSBC USA, Inc. | HUSI.PRF | US |
| HSBC USA, Inc. | HUSI.PRG | US |
| HSBC USA, Inc. | HUSI.PRH | US |
| HSBC USA, Inc. | HUSI.PRZ | United Kingdom |
| Huaneng Power International, Inc. | HNP | China |
| Hubbell Inc. | HUB.A | US |
| Hubbell Inc. | HUB.B | US |
| HudBay Minerals Inc. | HBM | Canada |
| Hudson Pacific Properties, Inc. | HPP | US |
| Hudson Pacific Properties, Inc. | HPP.PRB | US |
| Hudson Valley Holding Corp. | HVB | US |
| Hugoton Royalty Trust | HGT | US |
| Humana Inc. | HUM | US |
| Huntington Ingalls Industries, Inc. | HII | US |
| Huntsman Corporation | HUN | US |
| Hyatt Hotels Corporation | H | US |
| Hyperdynamics Corporation | HDY | US |
| Hyster-Yale Materials Handling, Inc. | HY | US |

