Companies listed on the New York Stock Exchange (M)


# Companies listed on the New York Stock Exchange (M)



## Companies listed on the New York Stock Exchange


## M

| Stock name | Symbol | Country of origin |
| --- | --- | --- |
| M&T Bank Corporation | MTB | US |
| M&T Bank Corporation | MTB.PR | US |
| M&T Bank Corporation | MTB.PRC | US |
| M&T Bank Corporation | MTB.WS | US |
| M/I Homes, Inc. | MHO | US |
| M/I Homes, Inc. | MHO.PRA | US |
| Macerich Co. | MAC | US |
| Mack Cali Realty Corporation | CLI | US |
| Macquarie Global Infrastructure Total Return Fund Inc. | MGU | US |
| Macquarie Infrastructure Company LLC | MIC | US |
| Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund | MFD | US |
| Macy's Inc. | M | US |
| Madison Covered Call & Equity Strategy Fund | MCN | US |
| Madison Strategic Sector Premium Fund | MSP | US |
| Magellan Midstream Partners, L.P. | MMP | US |
| Magna International Inc. | MGA | Canada |
| MagnaChip Semiconductor Corporation | MX | US |
| Magnum Hunter Resources Corporation | MHR | US |
| Maiden Holdings, Ltd. | MH.PRA | Bermuda |
| Maiden Holdings North America, Ltd. | MHNA | Bermuda |
| Maiden Holdings North America, Ltd. | MHNB | US |
| Maiden Holdings North America, Ltd. | MHNC | US |
| Main Street Capital Corporation | MAIN | US |
| Main Street Capital Corporation | MSCA | US |
| MainStay Defined Term Municipal Opportunities Fund | MMD | US |
| Mallinckrodt Public Limited Company | MNK | US |
| Managed Duration Investment Grade Municipal Fund | MZF | US |
| Managed High Yield Plus Fund Inc. | HYF | US |
| Manchester United plc | MANU | United Kingdom |
| Manitowoc Company, Inc. | MTW | US |
| Manning & Napier, Inc. | MN | US |
| ManpowerGroup | MAN | US |
| Manulife Financial Corporation | MFC | Canada |
| Marathon Oil Corporation | MRO | US |
| Marathon Petroleum Corporation | MPC | US |
| Marcus Corporation | MCS | US |
| Marcus & Millichap, Inc. | MMI | US |
| Marin Software Incorporated | MRIN | US |
| Marine Harvest ASA | MHG | US |
| Marine Products Corporation | MPX | US |
| Marinemax Inc. | HZO | US |
| Markel Corporation | MKL | US |
| MarkWest Energy Partners, L.P. | MWE | US |
| Marriott Vacations Worldwide Corporation | VAC | US |
| Marsh & McLennan Companies Inc. | MMC | US |
| Martha Stewart Living Omnimedia, Inc. | MSO | US |
| Martin Marietta Materials Inc. | MLM | US |
| Masco Corporation | MAS | US |
| Masonite International Corporation | DOOR | US |
| MasTec, Inc. | MTZ | US |
| MasterCard Incorporated | MA | US |
| Matador Resources Company | MTDR | US |
| Materion Corporation | MTRN | US |
| Matson, Inc. | MATX | US |
| Maui Land & Pineapple Company, Inc. | MLP | US |
| Mavenir Systems, Inc. | MVNR | US |
