Companies listed on the New York Stock Exchange (G)


# Companies listed on the New York Stock Exchange (G)



## Companies listed on the New York Stock Exchange


## G

| Stock name | Symbol | Country of origin |
| --- | --- | --- |
| The Gabelli Convertible and Income Securities Fund, Inc. | GCV | US |
| The Gabelli Convertible and Income Securities Fund, Inc. | GCV.PRB | US |
| The Gabelli Dividend & Income Trust | GDV | US |
| The Gabelli Dividend & Income Trust | GDV.PRA | US |
| The Gabelli Dividend & Income Trust | GDV.PRD | US |
| The Gabelli Equity Trust Inc. | GAB | US |
| The Gabelli Equity Trust Inc. | GAB.PRD | US |
| The Gabelli Equity Trust Inc. | GAB.PRG | US |
| The Gabelli Equity Trust Inc. | GAB.PRH | US |
| The Gabelli Global Small and Mid Cap Value Trust | GGZ | US |
| The Gabelli Healthcare & Wellness Rx Trust | GRX | US |
| The Gabelli Healthcare & Wellness Rx Trust | GRX.PRA | US |
| The Gabelli Multimedia Trust Inc. | GGT | US |
| The Gabelli Multimedia Trust Inc. | GGT.PRB | US |
| The Gabelli Utility Trust | GUT | US |
| The Gabelli Utility Trust | GUT.PRA | US |
| Gafisa S.A. | GFA | Brazil |
| GAIN Capital Holdings, Inc. | GCAP | US |
| Gamco Investors, Inc. | GBL | US |
| GAMCO Natural Resources, Gold & Income Trust | GNT | US |
| GameStop Corp. | GME | US |
| Gannett Co., Inc. | GCI | US |
| The Gap, Inc. | GPS | US |
| Gartner Inc. | IT | US |
| GasLog Ltd. | GLOG | US |
| GasLog Partners LP | GLOP | Marshall Islands |
| Gatx Corporation | GMT | US |
| Gazit-Globe Ltd. | GZT | Israel |
| The GDL Fund | GDL | US |
| The GDL Fund | GDL.PRB | US |
| Gencorp Inc | GY | US |
| Generac Holdings Inc. | GNRC | US |
| General American Investors Company, Inc. | GAM | US |
| General American Investors Company, Inc. | GAM.PRB | US |
| General Cable Corporation | BGC | US |
| General Dynamics Corporation | GD | US |
| General Electric Company | GE | US |
| General Electric Capital Company | GEB | US |
| General Electric Capital Corporation | GEH | US |
| General Electric Capital Corporation | GEK | US |
| General Mills, Inc. | GIS | US |
| General Motors Company | GM | US |
| General Motors Company | GM.WS.A | US |
| General Motors Company | GM.WS.B | US |
| General Motors Company | GM.WS.C | US |
| General Steel Holdings, Inc. | GSI | China |
| Genesco Inc. | GCO | US |
| Genesee & Wyoming, Inc. | GWR | US |
