List of Traders episodes


# List of Traders episodes



*Traders* premiered on February 1, 1996. Five seasons of the series were broadcast on Global between 1996 and 2000.


## Series overview

| Season | Episodes | | Originally aired | |
| --- | --- | --- | --- | --- |
| First aired | Last aired |
| 1 | 13 | | February 1, 1996 (1996-02-01) | c. 1996 (c. 1996) |
| 2 | 13 | | c. 1996 (c. 1996) | c. 1997 (c. 1997) |
| 3 | 22 | | c. 1997 (c. 1997) | May 3, 1998 (1998-05-03) |
| 4 | 22 | | October 15, 1998 (1998-10-15) | April 29, 1999 (1999-04-29) |
| 5 | 13 | | December 2, 1999 (1999-12-02) | March 9, 2000 (2000-03-09) |



## Episodes


### Season 1 (1996)

| No. overall | No. in season | Title | Directed by | Written by | Original air date |
| --- | --- | --- | --- | --- | --- |
| 1 | 1 | "Options" | Kari Skogland | David Shore and Jack Blum & Sharon Corder | February 1, 1996 (1996-02-01) |
| 2 | 2 | "Pennies from Heaven" | Alan Taylor | *Story by* : Tim Southam and Jack Blum & Sharon Corder *Teleplay by* : Jack Blum & Sharon Corder and David Shore | c. 1996 (c. 1996) |
| 3 | 3 | "Bad is Good" | Kari Skogland | David Shore | c. 1996 (c. 1996) |
| 4 | 4 | "The King Is Dead..." | Alan Taylor | *Story by* : Mark Shekter *Teleplay by* : David Shore | c. 1996 (c. 1996) |
| 5 | 5 | "...Long Live The King" | Kari Skogland | Tim Southam | c. 1996 (c. 1996) |
| 6 | 6 | "From Russia with Love" | George Mendeluk | Sharon Corder & Jack Blum | c. 1996 (c. 1996) |
| 7 | 7 | "Dancing with Mr. D." | Alex Chapple | Hart Hanson | c. 1996 (c. 1996) |
| 8 | 8 | "Into that Good Night" | George Mendeluk | Robert Sandler & Allen Booth | c. 1996 (c. 1996) |
| 9 | 9 | "Rumours" | E. Jane Thompson | Tim Southam | c. 1996 (c. 1996) |
| 10 | 10 | "The Enemy Within" | George Mendeluk | David Cole | c. 1996 (c. 1996) |
| 11 | 11 | "Sharper Than a Serpent's Tooth" | Holly Dale | Sondra Kelly | c. 1996 (c. 1996) |
| 12 | 12 | "The Big Picture" | Alan Taylor | Alyson Feltes | c. 1996 (c. 1996) |
| 13 | 13 | "The Enemy Without" | Alan Goluboff | David Shore | c. 1996 (c. 1996) |


### Season 2 (1996–97)

| No. in series | No. in season | Title | Directed by | Written by | Original air date |
| --- | --- | --- | --- | --- | --- |
| 14 | 1 | "Chaos Theory" | Kari Skogland | Hart Hanson | c. 1996 (c. 1996) |
