FTSE Fledgling Index


# FTSE Fledgling Index



The FTSE Fledgling Index comprises companies listed on the main market of the London Stock Exchange (LSE) which qualify as eligible for inclusion in the FTSE UK series but are too small to be included in the FTSE All-Share Index. There is no liquidity requirement for constituents of the FTSE Fledgling Index.

This Index is calculated on an end-of-day basis.


## ICB Supersector Breakdown

The ICB Supersector breakdown as of April 2024 was as follows:

| ICB Supersector | No. of Cons | Net MCap (GBPm) | Wgt % |
| --- | --- | --- | --- |
| Technology | 2 | 73 | 3.39 |
| Telecommunications | - | - | - |
| Health Care | - | - | - |
| Financials | 42 | 1,533 | 71.49 |
| Real Estate | 3 | 92 | 4.29 |
| Consumer Discretionary | 6 | 179 | 8.36 |
| Consumer Staples | 2 | 36 | 1.67 |
| Industrials | 4 | 172 | 8.00 |
| Basic Materials | 1 | 10 | 0.46 |
| Energy | - | - | - |
| Utilities | 1 | 50 | 2.33 |
| Totals | 61 | 2,145 | 100.00 |

