List of companies listed on Nasdaq Copenhagen


# List of companies listed on Nasdaq Copenhagen



`

This is a list of companies that have (or had) their primary listing on **Nasdaq Copenhagen**, based in Copenhagen. Many of these companies have secondary listings on other stock exchanges.


## Companies

| Company | Sector | Market cap | Nationality |
| --- | --- | --- | --- |
| AaB A/S | Consumer Discretionary | Small Cap | Danish |
| AGF | Consumer Discretionary | Small Cap | Danish |
| Agat Ejendomme | Real Estate | Small cap | Danish |
| ALK-Abelló | Healthcare | Large cap | Danish |
| Alm. Brand | Finance | Large cap | Danish |
| Ambu | Healthcare | Large cap | Danish |
| Asetek | Technology | Small cap | Danish |
| Atlantic Petroleum | Energy | Small cap | Danish |
| A. P. Møller-Mærsk | Industrials | Large cap | Danish |
| Aquaporin | Industrials | Small cap | Danish |
| Bang & Olufsen | Consumer Discretionary | Mid cap | Danish |
| Bank Nordik | Finance | Mid cap | Danish |
| Bavarian Nordic | Healthcare | Large cap | Danish |
| Better Collective | Technology | Large cap | Danish |
| BioPorto | Healthcare | Small cap | Danish |
| Boozt | Consumer Discretionary | Mid cap | Danish |
| Brd. Klee | Industrials | Small cap | Danish |
| Brdr. A & O Johansen | Industrials | Mid cap | Danish |
| Brøndby IF | Consumer Discretionary | Small cap | Danish |
| Carlsberg Group | Consumer Staples | Large cap | Danish |
| CBRAIN | Technology | Mid cap | Danish |
| Cemat | Technology | Small cap | Danish |
| ChemoMetec | Healthcare | Large cap | Danish |
| Chr. Hansen | Healthcare | Large cap | Danish |
| Coloplast | Healthcare | Large cap | Danish |
| Columbus A/S | Technology | Small cap | Danish |
| Copenhagen Capital | Real Estate | Small cap | Danish |
| D/S Norden | Industrials | Large cap | Danish |
| Danske Andelskassers Bank | Finance | Mid cap | Danish |
| Danske Bank | Finance | Large cap | Danish |
| Dantax | Consumer Discretionary | Small cap | Danish |
| Demant | Healthcare | Large cap | Danish |
| DFDS | Industrials | Large cap | Danish |
| Djurlands Bank | Finance | Small cap | Danish |
| DSV | Industrials | Large cap | Danish |
| EAC Invest | Industrials | Small cap | Danish |
| Ennogie Solar Group | Finance | Small cap | Danish |
| Fast Ejendom Danmark | Real Estate | Small cap | Danish |
| FirstFarms | Consumer Staples | Small cap | Danish |
| FLSmidth & Co. | Industrials | Large cap | Danish |
| Flügger Group | Industrials | Mid cap | Danish |
