List of Japanese prefectures by GDP per capita


# List of Japanese prefectures by GDP per capita



This is a list of Japanese prefectures by GDP per capita.


## List of prefectures by GDP per capita

Prefectures by GDP per capita in 2018 according to data by the OECD.

| Rank | Prefecture | 2018 GDP per capita in JP¥ | 2018 GDP per capita in US$ (PPP) |
| --- | --- | --- | --- |
| 1 | Tokyo | 7,708,060 | 74,003 |
| 2 | Aichi | 5,428,620 | 52,119 |
| 3 | Ibaraki | 4,853,200 | 46,594 |
| 4 | Tochigi | 4,800,220 | 46,086 |
| 5 | Shiga | 4,786,340 | 45,952 |
| 6 | Shizuoka | 4,761,950 | 45,718 |
| 7 | Mie | 4,691,220 | 45,039 |
| 8 | Yamaguchi | 4,656,390 | 44,705 |
| 9 | Toyama | 4,594,990 | 44,115 |
| 10 | Gunma | 4,593,660 | 44,103 |
| 11 | Osaka | 4,548,040 | 43,665 |
| Japan | 4,473,060 | 42,945 |
| 12 | Fukui | 4,452,400 | 42,746 |
| 13 | Yamanashi | 4,355,840 | 41,819 |
| 14 | Tokushima | 4,311,530 | 41,394 |
| 15 | Fukushima | 4,229,760 | 40,609 |
| 16 | Ishikawa | 4,164,820 | 39,985 |
| 17 | Hiroshima | 4,147,910 | 39,823 |
| 18 | Nagano | 4,147,400 | 39,818 |
| 19 | Kyoto | 4,105,280 | 39,414 |
| 20 | Miyagi | 4,100,130 | 39,364 |
| 21 | Okayama | 4,099,650 | 39,360 |
| 22 | Niigata | 4,061,520 | 38,994 |
| 23 | Oita | 4,037,020 | 38,758 |
| 24 | Kagawa | 4,003,240 | 38,434 |
| 25 | Gifu | 3,958,400 | 38,004 |
| 26 | Yamagata | 3,915,620 | 37,593 |
| 27 | Kanagawa | 3,883,560 | 37,285 |
| 28 | Fukuoka | 3,860,460 | 37,063 |
| 29 | Hyogo | 3,849,810 | 36,961 |
| 30 | Wakayama | 3,834,430 | 36,813 |
| 31 | Iwate | 3,822,270 | 36,697 |
| 32 | Saga | 3,798,240 | 36,466 |
| 33 | Hokkaido | 3,712,990 | 35,647 |
| 34 | Shimane | 3,712,290 | 35,641 |
| 35 | Ehime | 3,675,950 | 35,292 |
| 36 | Akita | 3,547,170 | 34,315 |
| 37 | Nagasaki | 3,487,370 | 33,481 |
| 38 | Kumamoto | 3,480,630 | 33,417 |
| 39 | Miyazaki | 3,450,320 | 33,126 |
| 40 | Aomori | 3,449,860 | 33,121 |
| 41 | Kagoshima | 3,437,840 | 33,006 |
| 42 | Kochi | 3,421,450 | 32,848 |
| 43 | Tottori | 3,395,030 | 32,595 |
| 44 | Chiba | 3,359,580 | 32,254 |
| 45 | Saitama | 3,174,630 | 30,479 |
| 46 | Okinawa | 3,098,790 | 29,751 |
| 47 | Nara | 2,776,150 | 26,653 |

