List of companies of Guinea


# List of companies of Guinea



Guinea, officially the Republic of Guinea, is a country in West Africa. Formerly known as French Guinea, it is today sometimes called Guinea-Conakry to distinguish it from its neighbor Guinea-Bissau and the Republic of Equatorial Guinea. Guinea has abundant natural resources including 25 percent or more of the world's known bauxite reserves. Guinea also has diamonds, gold, and other metals.


## Notable firms

This list includes notable companies with primary headquarters located in the country. The industry and sector follow the Industry Classification Benchmark taxonomy. Organizations which have ceased operations are included and noted as defunct.

Notable companies
 Active
 State-owned
 Defunct
| Name | Industry | Sector | Headquarters | Founded | Notes |
| --- | --- | --- | --- | --- | --- |
| Air Guinee Express | Consumer services | Airlines | Conakry | 1992 | Defunct airline |
| Air Guinee International | Consumer services | Airlines | Conakry | 2010 | Never started, defunct 2010 |
| Air Guinée | Consumer services | Airlines | Conakry | 1960 | Airline, defunct 2002 |
| Alumina Company of Guinea | Basic materials | General mining | Fria | ? | Bauxite mining |
| Compagnie des Bauxites de Guinée | Basic materials | Aluminium | Boké | 1962 | Bauxite Mining |
| Compagnie des bauxites de Kindia | Basic materials | Aluminium | Conakry/Kamsar | 2001 | Bauxite Mining |
| Eagle Air | Consumer services | Airlines | Conakry | 2006 | Airline |
| Guinee Air Service | Consumer services | Airlines | Conakry | 1985 | Airline |
| Guinee Airlines | Consumer services | Airlines | Conakry | 1999 | Airline, defunct 2004 |
| Halco Mining | Basic materials | Aluminium | Boké | 1962 | Aluminium |
| Office de la poste guinéenne | Industrials | Delivery services | Conakry | ? | Postal services |
| Société minière de Boké | Basic materials | Aluminium | Boké | 2014 | Bauxite Mining |
| Union des Transports Africains de Guinée | Consumer services | Airlines | Conakry | 2001 | Airline, defunct 2004 |

