OTCM QX ADR 30 Index


# OTCM QX ADR 30 Index



The **OTCM QX ADR 30** (**OTCQX30**) is a United States stock market index comprising the top 30 American depositary receipts (ADR) quoted on the over-the-counter OTCQX.


## Component stocks

Effective January 5, 2019.

| Symbol | Company | Country |
| --- | --- | --- |
| OTCQX: ADDYY | Adidas | Germany |
| OTCQX: AHONY | Ahold | The Netherlands |
| OTCQX: AKZOY | AkzoNobel | The Netherlands |
| OTCQX: AXAHY | Axa | France |
| OTCQX: BASFY | BASF | Germany |
| OTCQX: BNPQY | BNP Paribas | France |
| OTCQX: DANOY | Danone | France |
| OTCQX: DLAKY | Deutsche Lufthansa | Germany |
| OTCQX: DTEGY | Deutsche Telekom | Germany |
| OTCQX: EXPGY | Experian | Ireland |
| OTCQX: FERGY | Ferguson | Switzerland |
| OTCQX: FSNUY | Fresenius | Germany |
| OTCQX: FSUGY | Fortescue Metals Group | Australia |
| OTCQX: GBOOY | Banorte | Mexico |
| OTCQX: HEINY | Heineken NV | The Netherlands |
| OTCQX: HKHHY | Heineken Holding N.V. | The Netherlands |
| OTCQX: IMBBY | Imperial Brands | United Kingdom |
| OTCQX: JSAIY | Sainsbury's | United Kingdom |
| OTCQX: KGFHY | Kingfisher | United Kingdom |
| OTCQX: MAKSY | Marks & Spencer | Ireland |
| OTCQX: NGLOY | Anglo American | United Kingdom |
| OTCQX: NHYDY | Norsk Hydro | Norway |
| OTCQX: PUBGY | Publicis | France |
| OTCQX: RDSMY | Royal DSM | The Netherlands |
| OTCQX: REPYY | Repsol | Spain |
| OTCQX: RHHBY | Roche | Switzerland |
| OTCQX: UPMKY | UPM | Finland |
| OTCQX: WMMVY | Walmart de México y Centroamérica | Mexico |
| OTCQX: ZURVY | Zurich Insurance Group | Switzerland |

