List of Norwegians by net worth


# List of Norwegians by net worth



The following **Forbes list of Norwegian billionaires** is based on an annual assessment of wealth and assets compiled and published by *Forbes* magazine in 2024.


## 2024 Norwegian billionaires list

| Global ranking | Name | Net worth (USD) | Sources of wealth |
| --- | --- | --- | --- |
| 1 | Ivar Tollefsen | 8.3 billion | Tollefsen Enterprises |
| 2 | Ole Andreas Halvorsen | 7.2 billion | Viking Global Investors |
| 3 | Odd Reitan | 4.9 billion | Reitan Group |
| 4 | Kjell Inge Røkke | 4.6 billion | Aker ASA |
| 5 | Gustav Magnar Witzøe | 4.2 billion | SalMar |
| 6 | Stein Erik Hagen | 2.3 billion | Rimi |
| 7 | Caroline Hagen Kjos | 2.3 billion | Canica |
| 8 | Katharina Andresen | 1.7 billion | Ferd |
| 9 | Alexandra Andresen | 1.6 billion | Ferd |
| 10 | Torstein Hagen | 1.5 billion | Viking Cruises |
| 11 | Johan Johannson | 1.3 billion | NorgesGruppen |
| 12 | Petter Stordalen | 1.3 billion | Nordic Choice Hotels |

