List of companies of Yemen


# List of companies of Yemen



Yemen is an Arab country in Western Asia at the southern end of the Arabian Peninsula. As of 2013, the country had a GDP (ppp) of US$61.63 billion, with an income per capita of $2,500. Services are the largest economic sector (61.4% of GDP), followed by the industrial sector (30.9%), and agriculture (7.7%). Of these, petroleum production represents around 25% of GDP and 63% of the government's revenue.

Yemen's industrial sector is centered on crude oil production and petroleum refining, food processing, handicrafts, small-scale production of cotton textiles and leather goods, aluminum products, commercial ship repair, cement, and natural gas production. As of 2013, Yemen had an industrial production growth rate of 4.8%. It also has large proven reserves of natural gas. Yemen's first liquified natural gas plant began production in October 2009.


## Notable firms

This list includes notable companies with primary headquarters located in the country. The industry and sector follow the Industry Classification Benchmark taxonomy. Organizations which have ceased operations are included and noted as defunct.

Notable companies
 Active
 State-owned
 Defunct
| Name | Industry | Sector | Headquarters | Founded | Notes |
| --- | --- | --- | --- | --- | --- |
| Aden Airways | Consumer services | Airlines | Aden | 1949 | Airline, defunct 1967 |
| Almasirah | Consumer services | Broadcasting & entertainment | Sana'a | 2012 | Houthis owned |
| Alyemda | Consumer services | Airlines | Aden | 1971 | Airline, defunct 1996 |
| Central Bank of Yemen | Financials | Banks | Sana'a | 1971 | Central bank |
| Felix Airways | Consumer services | Airlines | Sana'a | 2008 | Low-cost airline, part of Yemenia |
| Gold Mohur Hotel | Consumer services | Hotels | Aden | ? | Resort hotel |
| Sultan Palace Hotel | Consumer services | Hotels | Sana'a | 1987 | Hotel |
| Yemenia | Consumer services | Airlines | Sana'a | 1962 | Flag carrier of Yemen |
| Yemen Mobile | Telecommunications | Mobile telecommunications | Sana'a | 2004 | Mobile network |
| *Yemen Post* | Consumer services | Publishing | Sana'a | 2007 | Newspaper |
| Yemen TV | Consumer services | Broadcasting & entertainment | Sana'a | 1975 | National television |

